index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
758,2-wave-synced-all,autoencoder,0,0.0020405064973480274,0.0005306659612891427,0.0015299414902339614,0.0006568011782417159,0.020728853226345732,,0.002055502809650439,0.0007575757575757576,0.0015418022452816022,0.0007575757575757576,0.026746907388833157
5042,2-wave-synced-all,cblof,0,0.00844408235925394,0.017298105276366146,0.006174036552674974,0.016739067695589437,0.7746573052490805,,0.010155011160601562,0.03664799253034547,0.007413989917060448,0.04344212432447726,0.8131059846205283
2655,2-wave-synced-all,cof,0,0.0021025497328240233,0.00715004600874166,0.0015690538540708667,0.0059667586841499875,0.06118355065195584,,0.0022290517956989444,0.006650402810876289,0.0016356246739505746,0.006243588182883845,0.13674356402540955
4728,2-wave-synced-all,copod,0,0.0027333931467479287,0.00898286850972273,0.002037650966882734,0.010612795842974872,0.2805081912403878,,0.002870087380178137,0.04679232804232804,0.00214677532017969,0.05720899470899471,0.30926111668338346
4514,2-wave-synced-all,dae,0,0.005389881376664995,0.03571428571428571,0.004035500760599888,0.03571428571428571,0.6325643597459044,,0.00548290397937873,0.13520408163265307,0.004107654247676394,0.14540816326530615,0.6382480775660314
3410,2-wave-synced-all,damp,0,0.002638041949790188,0.07201611549437636,0.0019774943350765505,0.0726036595601813,0.24373119358074222,,0.002400318964683841,0.0008751163183333832,0.0017886257286755542,0.0013702934269403228,0.18054162487462386
3366,2-wave-synced-all,deepant,0,0.7555555555555555,0.8724747474747474,0.711111111111111,0.7449494949494948,0.9989969909729188,,0.3373015873015873,0.036585365853658534,0.2575396825396825,0.036585365853658534,0.9963223002340355
2339,2-wave-synced-all,deepnap,0,0.002169987599294914,0.001254180602006689,0.001627686119431166,0.001254180602006689,0.07823470411233702,,0.0021692025115652856,0.001254180602006689,0.0016270968769558308,0.001254180602006689,0.07790036776997658
1132,2-wave-synced-all,encdec_ad,0,0.005180180690839395,0.009148084619782733,0.0038799522096940944,0.01072041166380789,0.6171848879973253,,0.005327036009465925,0.008009153318077803,0.003992261778839409,0.011632341723874905,0.6272149782681378
709,2-wave-synced-all,fast_mcd,0,0.0045620289967604035,0.014056671019106485,0.003386825868363283,0.014224453149324084,0.573386827148111,,0.0053702109913111844,0.06770833333333334,0.004017871592201217,0.07291666666666666,0.6318956870611835
