index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
758,2-wave-synced-one-channel-no-anomaly,autoencoder,0,0.0022343713643084174,0.0,0.0006980749746707195,0.0016744109042337125,0.0008247213779128673,0.10732196589769309,,-0.0,0.0,,0.5,,
4932,2-wave-synced-one-channel-no-anomaly,cblof,0,0.00418419797192839,0.0,0.0049690958330574405,0.002883266630316169,0.002993747221670436,0.5142092945503176,,-0.0,0.0,,0.5,,
2396,2-wave-synced-one-channel-no-anomaly,cof,0,0.0022077562101291076,0.0,0.011368074389067612,0.001650728264126448,0.012097850905794799,0.10197258441992643,,-0.0,0.0,,0.5,,
4546,2-wave-synced-one-channel-no-anomaly,copod,0,0.002754255398837614,0.0,0.008022774327122154,0.0020588322638095905,0.008902691511387163,0.2811768639251086,,-0.0,0.0,,0.5,,
4181,2-wave-synced-one-channel-no-anomaly,dae,0,0.004374949681600992,0.0,0.0009176222679604039,0.0032807984485924463,0.0011369205135744389,0.5446339017051153,,-0.0,0.0,,0.5,,
3180,2-wave-synced-one-channel-no-anomaly,damp,0,0.002759556533798446,0.0,0.001474068888499971,0.0020672395300065224,0.002061612954304907,0.2785021731862254,,-0.0,0.0,,0.5,,
3094,2-wave-synced-one-channel-no-anomaly,deepant,0,0.14714261773085302,0.058252427184466014,0.024999999999999998,0.10829353108764875,0.024999999999999998,0.9889669007021064,,-0.0,0.0,,0.5,,
2129,2-wave-synced-one-channel-no-anomaly,deepnap,0,0.002876441330273904,0.0,0.016329365079365082,0.0021529303722192007,0.02373015873015873,0.30959545302574387,,-0.0,0.0,,0.5,,
1022,2-wave-synced-one-channel-no-anomaly,encdec_ad,0,0.0026686250809110383,0.0,0.0016693360417724653,0.0019997971740252593,0.0022904540541948256,0.25309261116683385,,-0.0,0.0,,0.5,,
708,2-wave-synced-one-channel-no-anomaly,fast_mcd,0,0.002916126786421145,0.0,0.05028935185185185,0.0021830516489617486,0.05057870370370371,0.3186225342694751,,-0.0,0.0,,0.5,,
2797,2-wave-synced-one-channel-no-anomaly,gdn,0,0.03142671313219101,0.05882352941176471,0.010106382978723405,0.0233992379361874,0.011879432624113475,0.9389002036659878,,-0.0,0.0,,0.5,,
1731,2-wave-synced-one-channel-no-anomaly,hbos,0,0.01202058657642414,0.017543859649122806,0.11947717231222385,0.00688748627066821,0.07228767795778104,0.7268472082915413,,-0.0,0.0,,0.5,,
526,2-wave-synced-one-channel-no-anomaly,health_esn,0,0.04741505734883218,0.038834951456310676,0.01002993005111649,0.029805719888886376,0.009387032592181297,0.9324640588431964,,-0.0,0.0,,0.5,,
1322,2-wave-synced-one-channel-no-anomaly,hif,0,0.0025773318110390853,0.0,0.007512221800090475,0.0019132291480073137,0.006403753945008536,0.24239384821130056,,-0.0,0.0,,0.5,,
28,2-wave-synced-one-channel-no-anomaly,hybrid_knn,0,0.0021115807467689297,0.0,0.0011980830670926517,0.001585264957295245,0.0011980830670926517,0.05432965563356738,,-0.0,0.0,,0.5,,
3651,2-wave-synced-one-channel-no-anomaly,if_lof,0,0.0033180263949135376,0.0,0.01567666460523603,0.0023709041714629515,0.011353329210472067,0.42126379137412234,,-0.0,0.0,,0.5,,
2542,2-wave-synced-one-channel-no-anomaly,iforest,0,0.004237160245300605,0.0,0.011426270040426545,0.003079101567464941,0.007227540080853091,0.5493146104981611,,-0.0,0.0,,0.5,,
4603,2-wave-synced-one-channel-no-anomaly,kmeans,0,0.012748906866553925,0.0,0.004805234285398445,0.00950346498655039,0.004805234285398445,0.8478769642260113,,-0.0,0.0,,0.5,,
1292,2-wave-synced-one-channel-no-anomaly,knn,0,0.013895953861770697,0.0,0.0998015873015873,0.010282511898441225,0.0746031746031746,0.8622534269475092,,-0.0,0.0,,0.5,,
2957,2-wave-synced-one-channel-no-anomaly,laser_dbn,0,,0.0,0.5015,,0.5015,,,-0.0,0.0,,0.5,,
3986,2-wave-synced-one-channel-no-anomaly,lstm-vae,0,,0.0,0.5015,,0.5015,,,,0.0,0.5,,0.5,
2259,2-wave-synced-one-channel-no-anomaly,lstm_ad,0,0.0043783669189079765,0.0,0.04722222222222222,0.0032817387270740414,0.05277777777777778,0.5456369107321966,,-0.0,0.0,,0.5,,
1942,2-wave-synced-one-channel-no-anomaly,mstamp,0,0.0022245030638694775,0.0,0.0019368030498167486,0.00166332065064602,0.0024531515541789516,0.10865931126713477,,-0.0,0.0,,0.5,,
2663,2-wave-synced-one-channel-no-anomaly,multi_hmm,0,0.0069124423963133645,0.0,0.023809523809523808,0.0034562211981566822,0.023809523809523808,0.5762286860581746,,-0.0,0.0,,0.5,,
1577,2-wave-synced-one-channel-no-anomaly,multi_subsequence_lof,0,0.011597048175995545,0.0,0.008928571428571428,0.008694625057121055,0.008928571428571428,0.8301571380809093,,-0.0,0.0,,0.5,,
3797,2-wave-synced-one-channel-no-anomaly,normalizing_flows,0,0.015869658000705153,0.0,0.003593329388285529,0.011760883498299571,0.004061658776571058,0.8793045804078904,,-0.0,0.0,,0.5,,
4804,2-wave-synced-one-channel-no-anomaly,omni,0,0.0239206231015613,0.06060606060606061,0.015789473429322243,0.017936597647548673,0.015789473429322243,0.9149085794655416,,-0.0,0.0,,0.5,,
376,2-wave-synced-one-channel-no-anomaly,pca,0,0.002336360578540196,0.0,,0.0015045408678102928,,0.006018054162487481,,,,,,,
3329,2-wave-synced-one-channel-no-anomaly,pcc,0,0.002604456025080926,0.0,0.050595238095238096,0.0019510413211613936,0.05952380952380952,0.23537278502173187,,-0.0,0.0,,0.5,,
1866,2-wave-synced-one-channel-no-anomaly,random_black_forest,0,0.004563027722051084,0.0,0.00024207142260319152,0.003318479564053671,0.00042256649052658,0.5790705449682381,,-0.0,0.0,,0.5,,
944,2-wave-synced-one-channel-no-anomaly,robust_pca,0,0.002012082631235982,0.0,0.001503006012024048,0.0015090604435155433,0.001503006012024048,0.006018054162487463,,-0.0,0.0,,0.5,,
266,2-wave-synced-one-channel-no-anomaly,subsequence_knn,0,0.012249027364340939,0.0,0.009146341463414634,0.00917991238974309,0.009146341463414634,0.8395185556670011,,-0.0,0.0,,0.5,,
3940,2-wave-synced-one-channel-no-anomaly,tanogan,0,0.003,0.005982053838484547,0.0015,0.0015,0.0015,0.49147442326980945,,-0.0,0.0,,0.5,,
4401,2-wave-synced-one-channel-no-anomaly,telemanom,0,0.006593613755424836,0.0,0.0027564102564102567,0.004947007961818031,0.0032905982905982907,0.698428619190906,,-0.0,0.0,,0.5,,
3497,2-wave-synced-one-channel-no-anomaly,usad,0,0.007628223142964443,0.0,0.010453823953866959,0.007121437531460391,0.009062124416232109,0.001393370489879729,0.008683187887072563,-0.0,0.0,,0.5,,
