index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
813,2-wave-synced-one-channel,autoencoder,0,0.002508564019867981,0.0,0.03864139457664638,0.001879553213476497,0.038821250691754294,0.20561685055165496,,0.0025478456978120494,0.0,0.06285714285714286,0.0019100572264181478,0.06321428571428572,0.21664994984954866
4842,2-wave-synced-one-channel,cblof,0,0.00418419797192839,0.0,0.0049690958330574405,0.002883266630316169,0.002993747221670436,0.5142092945503176,,0.005720815125529097,0.0,0.020084317716101103,0.00362496920257874,0.01239085765442443,0.5018388498829822
2424,2-wave-synced-one-channel,cof,0,0.0022077562101291076,0.0,0.011368074389067612,0.001650728264126448,0.012097850905794799,0.10197258441992643,,0.004118180754591647,0.0,0.005618419458785081,0.002933899358878959,0.005422885429198068,0.5309261116683384
4424,2-wave-synced-one-channel,copod,0,0.002754255398837614,0.0,0.008022774327122154,0.0020588322638095905,0.008902691511387163,0.2811768639251086,,0.002736995011137884,0.0,0.026575847021767324,0.0020375788835510986,0.02537391626575687,0.28351721832163157
4246,2-wave-synced-one-channel,dae,0,0.005383022774327123,0.0,0.046875,0.004029817291851125,0.046875,0.6322300234035441,,0.005403708736538665,0.0,0.1532051282051282,0.004038425524021678,0.13974358974358972,0.6352390504847877
3173,2-wave-synced-one-channel,damp,0,0.002759556533798446,0.0,0.001474068888499971,0.0020672395300065224,0.002061612954304907,0.2785021731862254,,0.002549219956243935,0.0,0.0011530091469475082,0.0019054496519014716,0.0013159286647057356,0.22333667669675694
2986,2-wave-synced-one-channel,deepant,0,0.0034870791684665126,0.0,0.0018486549966741667,0.002480340539554868,0.0013163576123959523,0.44667335339351383,,0.0032306354028719068,0.0,0.0036786544586265603,0.0022512254169896866,0.0043764150505426975,0.37679705784018724
2147,2-wave-synced-one-channel,deepnap,0,0.002257770112958842,0.0,0.05,0.0016934316974694182,0.05,0.11434302908726175,,0.0022467810668665685,0.0,0.07142857142857142,0.0016851897063435684,0.07142857142857142,0.10999665663657639
1131,2-wave-synced-one-channel,encdec_ad,0,0.0020889319815998934,0.0,0.0008209594294256903,0.0015786650357688566,0.001295898097605706,0.06753594115680372,,0.002116477387543952,0.0,0.0007623106304384159,0.001596982241275928,0.0012206698930956766,0.08258107656302241
646,2-wave-synced-one-channel,fast_mcd,0,0.004756143131851251,0.0,0.047630366136728164,0.0035290996224632454,0.03970517671790078,0.5914409896355735,,0.005210738977939213,0.0,0.12626262626262627,0.0038946555889804065,0.12626262626262627,0.6215312604480107
2815,2-wave-synced-one-channel,gdn,0,0.005030479733965732,0.0,0.0005509279645122886,0.0037674391076660827,0.0007160534598887748,0.5997963340122199,,-0.0,0.0,,0.5,,
1742,2-wave-synced-one-channel,hbos,0,0.01202058657642414,0.017543859649122806,0.11947717231222385,0.00688748627066821,0.07228767795778104,0.7268472082915413,,0.01739395788831248,0.018518518518518517,0.06170396610148644,0.009719473831681803,0.04007459886963955,0.7698094282848547
438,2-wave-synced-one-channel,health_esn,0,0.0032321434908467806,0.0,0.0035600656914092097,0.0023446255334672633,0.004632569193763693,0.4075560013373454,,0.08749357986646122,0.019417475728155338,0.019799725262284566,0.04488489884732663,0.011821672746791353,0.6312270143764627
1350,2-wave-synced-one-channel,hif,0,0.006584882109245177,0.0,0.010322873248058195,0.004715166012028663,0.00845062454489688,0.7094617184887997,,0.009244493586323725,0.019417475728155338,0.026425077081658248,0.006219727079575349,0.01951682082998317,0.7499164159144098
14,2-wave-synced-one-channel,hybrid_knn,0,0.0024374553200127644,0.0,0.0008223684210526315,0.001567767799622438,0.0008223684210526315,0.04346372450685391,,0.002093520595590518,0.0,0.0012396694214876034,0.0015701383375544466,0.0012396694214876034,0.04480106987629555
3660,2-wave-synced-one-channel,if_lof,0,0.0033180263949135376,0.0,0.01567666460523603,0.0023709041714629515,0.011353329210472067,0.42126379137412234,,0.005100884574140072,0.0,0.024799043146569784,0.0034317248473444044,0.023282296819455366,0.5660314276161819
