index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
824,3-sine-one-channel-anomaly-no-anomaly,autoencoder,0,0.0058284947832565005,0.0,0.01184232044502322,0.005285268411054772,0.014617630899185876,0.07616161616161617,,-0.0,0.0,,0.5,,
4947,3-sine-one-channel-anomaly-no-anomaly,cblof,0,0.13919247660246753,0.18181818181818182,0.07090426506203912,0.12470992564592098,0.1031128779501652,0.9677777777777777,,-0.0,0.0,,0.5,,
2428,3-sine-one-channel-anomaly-no-anomaly,cof,0,0.03657800329693773,0.05454545454545455,0.03313440962770049,0.032374554555574274,0.03369243998072949,0.8485858585858586,,-0.0,0.0,,0.5,,
4481,3-sine-one-channel-anomaly-no-anomaly,copod,0,0.011552159792756127,0.0,0.010061015919385694,0.010327511533113632,0.018200349464835397,0.5618181818181818,,-0.0,0.0,,0.5,,
4139,3-sine-one-channel-anomaly-no-anomaly,dae,0,0.005707219689275889,0.0,0.06396002292723328,0.005180950445409322,0.07735974463437836,0.04898989898989899,,-0.0,0.0,,0.5,,
3213,3-sine-one-channel-anomaly-no-anomaly,damp,0,0.006941487661203274,0.0,0.08615214593475463,0.00631055911086278,0.08776789211571821,0.20949494949494948,,-0.0,0.0,,0.5,,
3108,3-sine-one-channel-anomaly-no-anomaly,deepant,0,0.11148287506075596,0.07272727272727272,0.10229083110692658,0.07783321342947158,0.053017832183121824,0.8505050505050505,,-0.0,0.0,,0.5,,
2094,3-sine-one-channel-anomaly-no-anomaly,deepnap,0,0.7441039476042907,0.18181818181818182,0.7830384199134199,0.7374228177919152,0.5660768398268399,0.9925252525252525,,-0.0,0.0,,0.5,,
1042,3-sine-one-channel-anomaly-no-anomaly,encdec_ad,0,0.01374447652844418,0.0,0.011820815825241051,0.012040160030966673,0.013901371910222362,0.5991919191919192,,-0.0,0.0,,0.5,,
590,3-sine-one-channel-anomaly-no-anomaly,fast_mcd,0,0.009593887115290268,0.0,0.045200149183535904,0.00858720101192057,0.039817649736447074,0.4673737373737374,,-0.0,0.0,,0.5,,
2808,3-sine-one-channel-anomaly-no-anomaly,gdn,0,0.04549519492082604,0.055045871559633024,0.03196253900855258,0.03462449589507831,0.03513345150631055,0.7988717948717948,,-0.0,0.0,,0.5,,
1667,3-sine-one-channel-anomaly-no-anomaly,hbos,0,0.01582986597680204,0.01818181818181818,0.010806497347033265,0.013661401247749155,0.016598622193066574,0.6315656565656566,,-0.0,0.0,,0.5,,
