index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
737,4-cbf-all-channel-anomaly-no-anomaly,autoencoder,0,0.20023249412220961,0.305,0.1989799478095743,0.1979447065374892,0.193231935350135,0.6830472222222223,,-0.0,0.0,,0.5,,
4953,4-cbf-all-channel-anomaly-no-anomaly,cblof,0,0.11742448602006969,0.075,0.11112067225641412,0.11654055794717431,0.12436430572548288,0.5964361111111112,,-0.0,0.0,,0.5,,
2345,4-cbf-all-channel-anomaly-no-anomaly,cof,0,0.16379486960324602,0.255,0.1524913862044014,0.1621061699418686,0.13282709340265494,0.5765916666666666,,-0.0,0.0,,0.5,,
4488,4-cbf-all-channel-anomaly-no-anomaly,copod,0,0.13349236208937298,0.16,0.07170852924044077,0.13091623375919656,0.10498997062628923,0.5491944444444444,,-0.0,0.0,,0.5,,
4128,4-cbf-all-channel-anomaly-no-anomaly,dae,0,0.08014598110555658,0.0,0.09646660104005672,0.07958709169092476,0.1377569666808153,0.41205277777777777,,-0.0,0.0,,0.5,,
3122,4-cbf-all-channel-anomaly-no-anomaly,damp,0,0.11797702599516122,0.25,0.020205692757357646,0.11698135331144227,0.03276848142760187,0.5402777777777779,,-0.0,0.0,,0.5,,
3079,4-cbf-all-channel-anomaly-no-anomaly,deepant,0,0.11230210255328049,0.16,0.15405889888896204,0.11110419255795112,0.1944783512550607,0.5046444444444445,,-0.0,0.0,,0.5,,
2073,4-cbf-all-channel-anomaly-no-anomaly,deepnap,0,0.205047191317987,0.305,0.21532162755351492,0.20340558164011072,0.20874554107898488,0.7329305555555556,,-0.0,0.0,,0.5,,
1072,4-cbf-all-channel-anomaly-no-anomaly,encdec_ad,0,0.15601590860693926,0.05000000000000001,0.126803853817317,0.15505478758864863,0.1735083278046683,0.7005166666666667,,-0.0,0.0,,0.5,,
652,4-cbf-all-channel-anomaly-no-anomaly,fast_mcd,0,0.2550109341621172,0.16,0.27509414689004796,0.25431194593820533,0.2633817166261061,0.6423583333333334,,-0.0,0.0,,0.5,,
2823,4-cbf-all-channel-anomaly-no-anomaly,gdn,0,0.14347026268604832,0.2756892230576441,0.15807382871829384,0.14205816205590627,0.1744526142389422,0.5884621848739495,,-0.0,0.0,,0.5,,
1674,4-cbf-all-channel-anomaly-no-anomaly,hbos,0,0.18695282426846133,0.305,0.2466085411671235,0.17461161626952468,0.2523517080208767,0.6413625,,-0.0,0.0,,0.5,,
545,4-cbf-all-channel-anomaly-no-anomaly,health_esn,0,0.15858825305320978,0.155,0.14483297738071227,0.15664206766850453,0.17295664174344805,0.616763888888889,,-0.0,0.0,,0.5,,
1341,4-cbf-all-channel-anomaly-no-anomaly,hif,0,0.1383463235016476,0.145,0.16536904249969772,0.13725256046541134,0.2273803501296715,0.6003555555555555,,-0.0,0.0,,0.5,,
45,4-cbf-all-channel-anomaly-no-anomaly,hybrid_knn,0,0.2925172865197784,0.23821339950372208,0.32988766647800316,0.2941889672627736,0.2890718120346224,0.6161972222222223,,-0.0,0.0,,0.5,,
3671,4-cbf-all-channel-anomaly-no-anomaly,if_lof,0,0.1358707463990189,0.145,0.10158183584949972,0.15306583732253326,0.09892575070638583,0.5899138888888888,,-0.0,0.0,,0.5,,
2484,4-cbf-all-channel-anomaly-no-anomaly,iforest,0,0.19368769753629025,0.3,0.16844227759936967,0.19121303871845957,0.18403611261584535,0.6462944444444445,,-0.0,0.0,,0.5,,
4589,4-cbf-all-channel-anomaly-no-anomaly,kmeans,0,0.16021429524211478,0.13,0.15301849046330152,0.1588029669311807,0.1503446800352752,0.6799055555555555,,-0.0,0.0,,0.5,,
1239,4-cbf-all-channel-anomaly-no-anomaly,knn,0,0.1586726967579042,0.195,0.1383708406244566,0.15651832584405587,0.15023827050700445,0.6024236111111111,,-0.0,0.0,,0.5,,
4033,4-cbf-all-channel-anomaly-no-anomaly,lstm-vae,0,,0.0,0.55,,0.55,,,,0.0,0.5,,0.5,
2213,4-cbf-all-channel-anomaly-no-anomaly,lstm_ad,0,0.06812885770155185,0.0,0.07752227783533183,0.06772808469676606,0.1319943733612815,0.3226638888888889,,-0.0,0.0,,0.5,,
1964,4-cbf-all-channel-anomaly-no-anomaly,mstamp,0,0.06144428709329225,0.0,0.09974808754688981,0.061094720646272145,0.1465804547036772,0.2339888888888889,,-0.0,0.0,,0.5,,
1562,4-cbf-all-channel-anomaly-no-anomaly,multi_subsequence_lof,0,0.13277837666048964,0.185,0.06404996219231025,0.13085516992645446,0.07624257008181867,0.4963833333333334,,-0.0,0.0,,0.5,,
3819,4-cbf-all-channel-anomaly-no-anomaly,normalizing_flows,0,,0.0,0.55,,0.55,,,,0.0,0.5,,0.5,
4784,4-cbf-all-channel-anomaly-no-anomaly,omni,0,0.07247423459218624,0.0,0.1404246985912323,0.07190154641601826,0.14928802847862244,0.3332067390062821,,-0.0,0.0,,0.5,,
394,4-cbf-all-channel-anomaly-no-anomaly,pca,0,0.20309794643268836,0.18581907090464547,,0.16538664636244815,,0.5100833333333333,,,,,,,
3269,4-cbf-all-channel-anomaly-no-anomaly,pcc,0,0.18325910869555895,0.245,0.1268421447710748,0.1805283418216509,0.1972931320288824,0.6057583333333333,,-0.0,0.0,,0.5,,
1909,4-cbf-all-channel-anomaly-no-anomaly,random_black_forest,0,0.21925881639797973,0.26,0.17558978723352262,0.21569602895987347,0.19373342814716726,0.6636944444444445,,-0.0,0.0,,0.5,,
1010,4-cbf-all-channel-anomaly-no-anomaly,robust_pca,0,0.21216738190553508,0.20999999999999996,0.2612537609796297,0.20976706956657543,0.25692569723932646,0.666525,,-0.0,0.0,,0.5,,
215,4-cbf-all-channel-anomaly-no-anomaly,subsequence_knn,0,0.1559193511093927,0.25,0.09750047448664573,0.15453683260651885,0.1557174081109015,0.69575,,-0.0,0.0,,0.5,,
3963,4-cbf-all-channel-anomaly-no-anomaly,tanogan,0,0.1,0.18181818181818182,0.05,0.05,0.05,0.4897222222222222,,-0.0,0.0,,0.5,,
4340,4-cbf-all-channel-anomaly-no-anomaly,telemanom,0,0.09041281537005874,0.0,0.11196414896972404,0.08977134255633948,0.14631263978313958,0.4773194444444444,,-0.0,0.0,,0.5,,
1797,4-cbf-all-channel-anomaly-no-anomaly,torsk,0,0.1511137938542459,0.245,0.06458342706938004,0.1426437375591314,0.11158211276824431,0.5021777777777778,,-0.0,0.0,,0.5,,
