index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
808,4-cbf-all-channel-anomaly,autoencoder,0,0.1950153725726732,0.305,0.23006239269309744,0.19299704169727444,0.2472554815183992,0.6417555555555556,,0.0941158121105058,0.0,0.13108059254835233,0.09357293329501049,0.16466726184268643,0.51235
4845,4-cbf-all-channel-anomaly,cblof,0,0.11742448602006969,0.075,0.11112067225641412,0.11654055794717431,0.12436430572548288,0.5964361111111112,,0.0932351627964379,0.005,0.08059421545880152,0.09261384622590899,0.13146141163245284,0.5145777777777777
2421,4-cbf-all-channel-anomaly,cof,0,0.16379486960324602,0.255,0.1524913862044014,0.1621061699418686,0.13282709340265494,0.5765916666666666,,0.0988901670746913,0.085,0.07889177023809366,0.09799382915541614,0.09380966472459541,0.4910361111111111
4421,4-cbf-all-channel-anomaly,copod,0,0.13349236208937298,0.16,0.07170852924044077,0.13091623375919656,0.10498997062628923,0.5491944444444444,,0.07547079613027625,0.0,0.09048442013527463,0.07505683723262882,0.1587468746289742,0.38364722222222214
4243,4-cbf-all-channel-anomaly,dae,0,0.21065847521977132,0.395,0.27072290994849096,0.2088565657080533,0.29863243082056584,0.6139555555555556,,0.06864536491022868,0.0,0.11836301323315283,0.06819740807406907,0.1706379103643818,0.32508888888888887
3176,4-cbf-all-channel-anomaly,damp,0,0.11797702599516122,0.25,0.020205692757357646,0.11698135331144227,0.03276848142760187,0.5402777777777779,,0.08532940292388823,0.0,0.02081203277005917,0.08473814020466322,0.03046536623845492,0.43319444444444444
2984,4-cbf-all-channel-anomaly,deepant,0,0.06544297402244868,0.0,0.11012025480731452,0.06499293599091052,0.1509033072782528,0.29166388888888883,,0.07724235474491037,0.0,0.10202175079487072,0.07678169230473893,0.1415778593310131,0.40402777777777776
2152,4-cbf-all-channel-anomaly,deepnap,0,0.13357488893287922,0.0,0.16261827617104005,0.1326990759496605,0.17113083415946106,0.6480861111111111,,0.069940016751064,0.0,0.1291129563204624,0.06958524500705962,0.17184511663063018,0.30716388888888885
1126,4-cbf-all-channel-anomaly,encdec_ad,0,0.16089750982686885,0.01,0.16720708074725327,0.15991782111687053,0.21029784838253684,0.6898333333333333,,0.07583994218795699,0.0,0.045744336707942077,0.07533527953546307,0.07223189996744273,0.3935777777777778
645,4-cbf-all-channel-anomaly,fast_mcd,0,0.19362555806945486,0.395,0.22088221162147534,0.19202552627750255,0.23435762682060193,0.6257222222222223,,0.07125797432786454,0.0,0.14702248226083836,0.0708966725271169,0.26542554616993225,0.32186111111111104
2818,4-cbf-all-channel-anomaly,gdn,0,0.0780677555623134,0.0,0.09750940894545126,0.07762227563676377,0.20481744642956667,0.4048879551820729,,-0.0,0.0,,0.5,,
1737,4-cbf-all-channel-anomaly,hbos,0,0.18695282426846133,0.305,0.2466085411671235,0.17461161626952468,0.2523517080208767,0.6413625,,0.09961815007600361,0.02,0.0713192566196745,0.0917772010986787,0.09343471049784949,0.5021291666666666
440,4-cbf-all-channel-anomaly,health_esn,0,0.10244839457868625,0.0,0.1560104762015525,0.10174045825226302,0.19490192503139814,0.5441527777777778,,0.08537913707160771,0.04,0.05987738321500186,0.08433442270058089,0.10595993555744661,0.45581388888888885
1347,4-cbf-all-channel-anomaly,hif,0,0.20352527288500155,0.35500000000000004,0.20536726254661594,0.2015064946993408,0.27865009466517354,0.6365055555555555,,0.07959253600594071,0.0,0.12780303649502062,0.07914901753353686,0.2017457378244202,0.4216638888888889
16,4-cbf-all-channel-anomaly,hybrid_knn,0,0.12540883054264113,0.0,0.2859064327252496,0.12406590949369514,0.32729156222278566,0.6228180555555556,,0.06619472127450945,0.0,0.09598595566001364,0.06570817221625512,0.1084471649615268,0.2723777777777778
3665,4-cbf-all-channel-anomaly,if_lof,0,0.1358707463990189,0.145,0.10158183584949972,0.15306583732253326,0.09892575070638583,0.5899138888888888,,0.1,0.0,0.05,0.05,0.05,0.3988888888888889
2592,4-cbf-all-channel-anomaly,iforest,0,0.19368769753629025,0.3,0.16844227759936967,0.19121303871845957,0.18403611261584535,0.6462944444444445,,0.07334303698219675,0.0,0.15802073859521937,0.07295957135189715,0.23390954401818084,0.35310555555555556
4612,4-cbf-all-channel-anomaly,kmeans,0,0.16021429524211478,0.13,0.15301849046330152,0.1588029669311807,0.1503446800352752,0.6799055555555555,,0.07918483109414413,0.0,0.07632557320326128,0.0787073178994295,0.10379287524976633,0.4203861111111111
1165,4-cbf-all-channel-anomaly,knn,0,0.1586726967579042,0.195,0.1383708406244566,0.15651832584405587,0.15023827050700445,0.6024236111111111,,0.08141389879612487,0.0,0.13248899868776756,0.08098411794862705,0.20335948969627765,0.42701944444444445
4074,4-cbf-all-channel-anomaly,lstm-vae,0,,0.0,0.55,,0.55,,,,0.0,0.55,,0.55,
2267,4-cbf-all-channel-anomaly,lstm_ad,0,0.08078429430998263,0.0,0.07151559940773766,0.08022353486244282,0.0931828241065113,0.42214166666666664,,0.13721874639033424,0.055,0.16002316273507433,0.13631619343764723,0.16947144347106832,0.6838527777777778
2044,4-cbf-all-channel-anomaly,mstamp,0,0.06144428709329225,0.0,0.09974808754688981,0.061094720646272145,0.1465804547036772,0.2339888888888889,,0.06775172260925416,0.0,0.06453969200503198,0.06726381074037716,0.11697034508647289,0.3113638888888889
2652,4-cbf-all-channel-anomaly,multi_hmm,0,0.09220493033518715,0.0,0.023166107220664527,0.06553223128909383,0.03794306426559595,0.3123930555555556,,0.11698737027041875,0.0,0.022352550226239186,0.0899546841633507,0.03622659723031746,0.5080847222222222
1472,4-cbf-all-channel-anomaly,multi_subsequence_lof,0,0.13277837666048964,0.185,0.06404996219231025,0.13085516992645446,0.07624257008181867,0.4963833333333334,,0.07802528167008967,0.0,0.0863913068522247,0.07756079556463341,0.10428164339940929,0.41264999999999996
3775,4-cbf-all-channel-anomaly,normalizing_flows,0,,0.0,0.55,,0.55,,,,0.0,0.55,,0.55,
4760,4-cbf-all-channel-anomaly,omni,0,0.0853662628890429,0.07575757575757577,0.1525585949420929,0.08456820462611644,0.2018202394247055,0.37355796687607085,,0.31500340420148776,0.30808080808080807,0.3768939673900604,0.31268223610186757,0.3736809194087982,0.8346916047972586
339,4-cbf-all-channel-anomaly,pca,0,0.2031712514762703,0.18581907090464547,0.10396115231181476,0.16545607244847593,0.13349580779679435,0.5104916666666667,,0.07639594868080533,0.0,0.09825318507637586,0.07070771766515133,0.12818068103923366,0.31181111111111115
3366,4-cbf-all-channel-anomaly,pcc,0,0.18325910869555895,0.245,0.1268421447710748,0.1805283418216509,0.1972931320288824,0.6057583333333333,,0.06933645832673148,0.0,0.12350343175815959,0.06896059707225784,0.18496666552231422,0.3171333333333333
1859,4-cbf-all-channel-anomaly,random_black_forest,0,0.1875702866851503,0.305,0.20993742367424453,0.18592312507759878,0.22944298845861727,0.6706333333333334,,0.12152905263180827,0.0,0.10877412808896558,0.1208427808135866,0.17156890437390998,0.6425805555555556
958,4-cbf-all-channel-anomaly,robust_pca,0,0.25569276186649575,0.295,0.1655014725234581,0.25296477112286897,0.21215323081573112,0.7492555555555556,,0.07233603584816348,0.0,0.18623542661984716,0.07196781979058153,0.2607728438060424,0.334575
211,4-cbf-all-channel-anomaly,subsequence_knn,0,0.1559193511093927,0.25,0.09750047448664573,0.15453683260651885,0.1557174081109015,0.69575,,0.08474249201725263,0.0,0.12063326633447063,0.08427346243005536,0.17904966955798246,0.4488902777777778
3930,4-cbf-all-channel-anomaly,tanogan,0,0.1,0.18181818181818182,0.05,0.05,0.05,0.4897222222222222,,0.1,0.18181818181818182,0.05,0.05,0.05,0.4897222222222222
4384,4-cbf-all-channel-anomaly,telemanom,0,0.15594544525115644,0.0,0.25436599902910145,0.15495365117444232,0.2828878386129205,0.6530888888888888,,0.06726059131470816,0.0,0.10924210721912259,0.06685272723048796,0.12832802577843455,0.31068333333333337
1791,4-cbf-all-channel-anomaly,torsk,0,0.1511137938542459,0.245,0.06458342706938004,0.1426437375591314,0.11158211276824431,0.5021777777777778,,0.09103142437144225,0.0,0.19036153662471486,0.09497429086497153,0.3209887660164886,0.491
3554,4-cbf-all-channel-anomaly,usad,0,0.36787806059437966,0.27539503386004516,0.3145864009857178,0.36721392780500234,0.3294576406478882,0.6690597270266205,0.18481828272342682,0.08504121687934897,0.0,0.14254984259605408,0.08468055032847831,0.20062917470932007,0.30735824936080614
