index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
830,4-ecg-one-channel-amplitude-anomaly,autoencoder,0,0.5903114171234743,0.53,0.45749805484492145,0.589746738054201,0.4877574676690531,0.7445333333333333,,0.11704179008971584,0.10000000000000002,0.09491930891717634,0.11197845959809052,0.10620974922336272,0.5381
4979,4-ecg-one-channel-amplitude-anomaly,cblof,0,0.32471509935495785,0.37,0.49415580045845076,0.3211386912827775,0.17909573765907277,0.6923111111111111,,0.06807481091291595,0.0,0.07679675026966491,0.0672242472789672,0.10637870773001123,0.3187611111111111
2351,4-ecg-one-channel-amplitude-anomaly,cof,0,0.3664988134262224,0.32,0.5291490042515157,0.36495861618952363,0.2617367059466788,0.7038666666666666,,0.10733577632738939,0.06,0.07306615788986032,0.10375318544668974,0.0918424766509891,0.5461333333333334
4449,4-ecg-one-channel-amplitude-anomaly,copod,0,0.16181967088107937,0.17,0.10037050890339601,0.15785647199640296,0.1329723551159749,0.6574222222222222,,0.06599555539670775,0.0,0.06814072259226125,0.06527364426654983,0.13721114545211133,0.2823777777777778
4229,4-ecg-one-channel-amplitude-anomaly,dae,0,0.5917800084746716,0.52,0.4382885793581987,0.5911524168073117,0.47660684973919437,0.7604777777777778,,0.10326768421824001,0.08,0.058094899392010006,0.10111508293010252,0.09444930944175026,0.5374444444444444
3181,4-ecg-one-channel-amplitude-anomaly,damp,0,0.10383495105528198,0.05000000000000001,0.05511598215269173,0.10176572352123325,0.0720006328478354,0.5532666666666667,,0.15759650968500055,0.13,0.16341857344103572,0.15222067357578634,0.193946602811113,0.648188888888889
3042,4-ecg-one-channel-amplitude-anomaly,deepant,0,0.5256175264241525,0.48,0.5711398067275254,0.5247460220839583,0.3851678943717284,0.7199555555555555,,0.08426370811259937,0.02,0.06991513297851085,0.08299196803601003,0.10285925773261845,0.4455888888888889
2195,4-ecg-one-channel-amplitude-anomaly,deepnap,0,0.152601651923685,0.13,0.33260800164306686,0.15001369216707058,0.14467983058837536,0.571911111111111,,0.06979185250770202,0.0,0.06016086653623457,0.06900673068772648,0.11560419780855519,0.3291777777777778
1139,4-ecg-one-channel-amplitude-anomaly,encdec_ad,0,0.09596994638344322,0.14,0.08825063547527295,0.09350383880173008,0.1002195257397862,0.47058888888888883,,0.10836521153317875,0.09,0.09086957306907097,0.10631883254547023,0.09840787827669098,0.5558111111111111
648,4-ecg-one-channel-amplitude-anomaly,fast_mcd,0,0.15983062540606296,0.17,0.09506644668031144,0.15680757713299548,0.125878641394675,0.652588888888889,,0.06619708588658295,0.0,0.06880165773887961,0.06547589195789133,0.13715787856176775,0.28394444444444444
2743,4-ecg-one-channel-amplitude-anomaly,gdn,0,0.5061046420716777,0.4522613065326633,0.6255482889595659,0.5052321706791899,0.3745906822596903,0.7074463276836158,,-0.0,0.0,,0.5,,
1641,4-ecg-one-channel-amplitude-anomaly,hbos,0,0.1499686289854254,0.14925373134328357,0.0786590604497018,0.14968429908355413,0.12988765109746278,0.6337777777777778,,0.07863492720915094,0.0,0.08012557840983503,0.07489848902037034,0.1363836849031189,0.3843777777777778
498,4-ecg-one-channel-amplitude-anomaly,health_esn,0,0.5887125401964928,0.52,0.637128886966255,0.5881335201999435,0.4870388453327061,0.7652111111111112,,0.17168644750591638,0.17,0.1290330747661741,0.16801019649235702,0.15577312494158477,0.721411111111111
1403,4-ecg-one-channel-amplitude-anomaly,hif,0,0.25308790096680256,0.23,0.480409897377701,0.24902889329847838,0.19128768525951953,0.6708666666666667,,0.06645113120147385,0.0,0.06266449978764158,0.0657274663990646,0.13983964703470095,0.2866333333333333
77,4-ecg-one-channel-amplitude-anomaly,hybrid_knn,0,0.07996038944950838,0.03980099502487562,0.11596546095310414,0.07851861859584801,0.11508898499148755,0.4046555555555556,,0.09966776233975129,0.0,0.06593229426822712,0.09837537995669828,0.08721186442338259,0.5408888888888889
3563,4-ecg-one-channel-amplitude-anomaly,if_lof,0,0.13386501068110276,0.15,0.1928293179069965,0.12796278394734598,0.11829591713438402,0.5401722222222223,,0.09536493501153147,0.04,0.061675308516396694,0.0935426840309622,0.09175986958684379,0.5048777777777778
2567,4-ecg-one-channel-amplitude-anomaly,iforest,0,0.28032672835317285,0.23,0.4882991134308258,0.27772379469755293,0.19919150870561803,0.6737111111111111,,0.06601541902711137,0.0,0.0606724655831828,0.06529834979790598,0.13858100852410615,0.28096666666666664
4587,4-ecg-one-channel-amplitude-anomaly,kmeans,0,0.6856216677698754,0.62,0.7954483175719707,0.6850476030520779,0.6099992951447549,0.8290666666666667,,0.06421343928717133,0.0,0.040748084390919356,0.06352395607716103,0.06274189657584467,0.25598888888888893
1231,4-ecg-one-channel-amplitude-anomaly,knn,0,0.2135434155235288,0.20000000000000004,0.13426645513494812,0.20631006944429908,0.13113353794683205,0.6661388888888888,,0.06586205608455167,0.0,0.07266827296722754,0.065146657551727,0.13869283821367087,0.2791944444444444
2898,4-ecg-one-channel-amplitude-anomaly,laser_dbn,0,,0.0,0.55,,0.55,,,0.1266878342083357,0.13,0.07270251769605457,0.12381150599347976,0.12291099009289908,0.6024055555555555
4045,4-ecg-one-channel-amplitude-anomaly,lstm-vae,0,,0.0,0.55,,0.55,,,,0.0,0.55,,0.55,
2270,4-ecg-one-channel-amplitude-anomaly,lstm_ad,0,0.32115786997136164,0.36,0.2630499309594284,0.3155372440923341,0.2089680716079157,0.7764666666666666,,0.12270117067966135,0.12,0.10516790673173859,0.11948007171821948,0.11405910789097325,0.5678666666666666
1939,4-ecg-one-channel-amplitude-anomaly,mstamp,0,0.13721551742896,0.13,0.11379478183699808,0.13259326084877174,0.1711141380467194,0.6377833333333334,,0.16235691605647248,0.10000000000000002,0.3356421633661639,0.16043280682513983,0.13377869967846365,0.6453277777777778
2685,4-ecg-one-channel-amplitude-anomaly,multi_hmm,0,0.11597564155806614,0.14925373134328357,0.12340153434937388,0.10349140123720967,0.15841709066614518,0.47665,,0.11411187258133905,0.0,0.05628057224260475,0.07746523220266233,0.06063279896325252,0.3988222222222222
1466,4-ecg-one-channel-amplitude-anomaly,multi_subsequence_lof,0,0.17577603473594985,0.23,0.3547548944583311,0.1722848661879406,0.208461312880885,0.6746166666666668,,0.09397646143536724,0.01,0.04422413347247395,0.09278829865439556,0.0879999603931706,0.5048277777777778
3767,4-ecg-one-channel-amplitude-anomaly,normalizing_flows,0,0.13511959287427944,0.11,0.08084909267648255,0.1321665419217854,0.12757879506713382,0.6541555555555556,,0.12060174991438163,0.13,0.09996482202659548,0.11619957411952889,0.12605526725068267,0.5304666666666666
4835,4-ecg-one-channel-amplitude-anomaly,omni,0,0.09603479422610342,0.051020408163265314,0.09862062335014343,0.09443767179548956,0.1551993191242218,0.4584136310223267,,0.0818797990551028,0.0,0.089546799659729,0.08089364165060811,0.16756299138069153,0.39650998824911865
298,4-ecg-one-channel-amplitude-anomaly,pca,0,0.650095810361066,0.5192307692307693,0.7421670079921019,0.6450201498209582,0.5577914039523673,0.8316555555555556,,0.15612884667327492,0.1346153846153846,0.10538713829561144,0.13818509463853595,0.1150130746979452,0.6575
3290,4-ecg-one-channel-amplitude-anomaly,pcc,0,0.1433433567070009,0.18,0.08750375807139875,0.14056117950234995,0.12481334860374625,0.5916555555555555,,0.07626098347503432,0.0,0.05744495785531707,0.07540129389232947,0.11269235555521073,0.39059999999999995
1920,4-ecg-one-channel-amplitude-anomaly,random_black_forest,0,0.47111348931435026,0.4000000000000001,0.48694205443909716,0.46952753425366445,0.328138503438226,0.7853111111111111,,0.0939120099172954,0.01,0.05792865730853747,0.09274326162149872,0.12372559094761892,0.5201111111111111
886,4-ecg-one-channel-amplitude-anomaly,robust_pca,0,0.15759690924405925,0.17,0.0840968801334557,0.154774964198773,0.12619439848303415,0.6554777777777777,,0.06733845855296039,0.0,0.06931149896036293,0.06660091985621301,0.1478698162013723,0.2972111111111111
272,4-ecg-one-channel-amplitude-anomaly,subsequence_knn,0,0.08210088598026849,0.03,0.09329382132360442,0.08035778191078358,0.13579439856166636,0.4165444444444445,,0.07802050458328878,0.02,0.07510859306887895,0.07606269832128866,0.13968108597703074,0.34794444444444445
3973,4-ecg-one-channel-amplitude-anomaly,tanogan,0,0.1,0.18181818181818182,0.05,0.05,0.05,0.4905555555555556,,0.1,0.18181818181818182,0.05,0.05,0.05,0.4905555555555556
4372,4-ecg-one-channel-amplitude-anomaly,telemanom,0,0.11094095825588424,0.10000000000000002,0.08990804184104118,0.10858386864863262,0.10430947533932797,0.5624444444444444,,0.1730252645531914,0.23,0.17764786403424423,0.17022867389188434,0.2019342805606341,0.6533666666666667
3520,4-ecg-one-channel-amplitude-anomaly,usad,0,0.15593124921134377,0.0995475113122172,0.11774533987045288,0.15409367258131595,0.16127996146678925,0.5889524097982055,0.005658656824380159,0.08491955823612919,0.0,0.06286434829235077,0.08412769803109121,0.14886078238487244,0.31648241396282134
