index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
789,4-rw-all-channels-anomaly-no-anomaly,autoencoder,0,0.00858235629614546,0.0,0.002254689754689755,0.007804961448087826,0.003246753246753247,0.3604040404040404,,-0.0,0.0,,0.5,,
4906,4-rw-all-channels-anomaly-no-anomaly,cblof,0,0.12297699361941863,0.18181818181818182,0.22291666666666665,0.11246886353811782,0.2791666666666666,0.9619191919191918,,-0.0,0.0,,0.5,,
2440,4-rw-all-channels-anomaly-no-anomaly,cof,0,0.9999999999999999,0.18181818181818182,0.9073529411764707,0.9999999999999999,0.8147058823529413,1.0,,-0.0,0.0,,0.5,,
4422,4-rw-all-channels-anomaly-no-anomaly,copod,0,0.9999999999999999,0.18181818181818182,0.8071428571428572,0.9999999999999999,0.6142857142857142,1.0,,-0.0,0.0,,0.5,,
4213,4-rw-all-channels-anomaly-no-anomaly,dae,0,0.05186173968456829,0.09090909090909091,0.2875,0.04710972025890521,0.32499999999999996,0.9024242424242425,,-0.0,0.0,,0.5,,
3224,4-rw-all-channels-anomaly-no-anomaly,damp,0,0.1549603130625603,0.16363636363636364,0.0785545155076405,0.13625508052359547,0.1100256976819477,0.9085858585858586,,-0.0,0.0,,0.5,,
2983,4-rw-all-channels-anomaly-no-anomaly,deepant,0,0.007188770772175269,0.0,0.17202380952380952,0.006534224964216401,0.17619047619047618,0.2382828282828283,,-0.0,0.0,,0.5,,
2156,4-rw-all-channels-anomaly-no-anomaly,deepnap,0,0.010357307639887674,0.0,0.08704545454545455,0.009417056171975554,0.09454545454545454,0.4728282828282828,,-0.0,0.0,,0.5,,
1115,4-rw-all-channels-anomaly-no-anomaly,encdec_ad,0,0.06980925983288448,0.18181818181818182,0.05277777777777778,0.06330841775732257,0.07430555555555556,0.9304040404040405,,-0.0,0.0,,0.5,,
597,4-rw-all-channels-anomaly-no-anomaly,fast_mcd,0,0.01846876122037117,0.0,0.24166666666666664,0.01678569824762429,0.31666666666666665,0.7095959595959597,,-0.0,0.0,,0.5,,
2754,4-rw-all-channels-anomaly-no-anomaly,gdn,0,0.01688714043581898,0.0,0.2039537037037037,0.015320239503789988,0.2412407407407407,0.681025641025641,,-0.0,0.0,,0.5,,
1624,4-rw-all-channels-anomaly-no-anomaly,hbos,0,0.47619047619047616,0.1694915254237288,0.25,0.23809523809523808,0.25,0.9888888888888888,,-0.0,0.0,,0.5,,
496,4-rw-all-channels-anomaly-no-anomaly,health_esn,0,0.010694339416980574,0.0,0.13280156475468974,0.009610110271035213,0.22419552669552673,0.5178787878787878,,-0.0,0.0,,0.5,,
1420,4-rw-all-channels-anomaly-no-anomaly,hif,0,0.011701292348577757,0.0,0.007011947663747266,0.010373957805241536,0.012261044757367992,0.5392929292929293,,-0.0,0.0,,0.5,,
124,4-rw-all-channels-anomaly-no-anomaly,hybrid_knn,0,0.01768480873045349,0.0,0.07897165162873984,0.015901006617942016,0.05794330325747968,0.7175757575757575,,-0.0,0.0,,0.5,,
3614,4-rw-all-channels-anomaly-no-anomaly,if_lof,0,0.5178732378732378,0.18181818181818182,0.3125,0.48188838938838946,0.375,0.9956565656565657,,-0.0,0.0,,0.5,,
2568,4-rw-all-channels-anomaly-no-anomaly,iforest,0,0.6242932067932068,0.18181818181818182,0.25,0.5808316683316683,0.25,0.9972727272727272,,-0.0,0.0,,0.5,,
