index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
812,4-rw-all-channels-anomaly,autoencoder,0,0.017829347260521686,0.0,0.29583333333333334,0.016175827356970672,0.3416666666666667,0.703030303030303,,0.0056427752296100125,0.0,0.003596055314126294,0.0051287960166818015,0.0058032217393636995,0.02727272727272727
4841,4-rw-all-channels-anomaly,cblof,0,0.12297699361941863,0.18181818181818182,0.22291666666666665,0.11246886353811782,0.2791666666666666,0.9619191919191918,,0.0679645434974168,0.18181818181818182,0.13,0.062012162545035845,0.16,0.9252525252525252
2425,4-rw-all-channels-anomaly,cof,0,0.9999999999999999,0.18181818181818182,0.9073529411764707,0.9999999999999999,0.8147058823529413,1.0,,0.9999999999999999,0.18181818181818182,0.83125,0.9999999999999999,0.6625,1.0
4423,4-rw-all-channels-anomaly,copod,0,0.9999999999999999,0.18181818181818182,0.8071428571428572,0.9999999999999999,0.6142857142857142,1.0,,0.006399730013620224,0.0,0.003865746885396758,0.0058148482295590845,0.0057707094570680255,0.14616161616161616
4249,4-rw-all-channels-anomaly,dae,0,0.9999999999999999,0.18181818181818182,0.8875,0.9999999999999999,0.775,1.0,,0.006403005062034872,0.0,0.00458793743407734,0.005813833349132721,0.008364186556466369,0.15171717171717172
3174,4-rw-all-channels-anomaly,damp,0,0.1549603130625603,0.16363636363636364,0.0785545155076405,0.13625508052359547,0.1100256976819477,0.9085858585858586,,0.009995062072379775,0.0,0.0022461384144004306,0.00908291401548929,0.004079735574675449,0.45595959595959595
2987,4-rw-all-channels-anomaly,deepant,0,0.007548278038496729,0.0,0.10357142857142856,0.006855135204599437,0.1357142857142857,0.2806060606060606,,0.032968541768826014,0.0,0.16666666666666666,0.03000321355757469,0.16666666666666666,0.8395959595959597
2149,4-rw-all-channels-anomaly,deepnap,0,0.007764613704471493,0.0,0.012408568443051202,0.007057694263018759,0.01619644723092999,0.29545454545454547,,0.010855530572729703,0.0,0.004130163817663818,0.009856392924816427,0.006593660968660969,0.5036363636363637
1130,4-rw-all-channels-anomaly,encdec_ad,0,0.006690112305228629,0.0,0.017096994062059563,0.006080554673258749,0.022289226219357222,0.18131313131313131,,0.016269043369711116,0.0,0.009213605580735277,0.014657316336987998,0.014098206832466226,0.6854545454545455
647,4-rw-all-channels-anomaly,fast_mcd,0,0.013081188005589618,0.0,0.16249999999999998,0.0118707243006215,0.2,0.5914141414141414,,0.005523276835357712,0.0,0.004759018036072145,0.005022506774818006,0.005009018036072144,0.0024747474747474794
2813,4-rw-all-channels-anomaly,gdn,0,0.00782997508875588,0.0,0.14727163461538462,0.007111795767132993,0.16954326923076923,0.29538461538461536,,-0.0,0.0,,0.5,,
1741,4-rw-all-channels-anomaly,hbos,0,0.47619047619047616,0.1694915254237288,0.25,0.23809523809523808,0.25,0.9888888888888888,,0.011272259810554804,0.0,0.10538194444444443,0.007070556134785598,0.1552083333333333,0.3339393939393939
437,4-rw-all-channels-anomaly,health_esn,0,0.5862301587301588,0.18181818181818182,0.1611569174069174,0.5357913764978983,0.16846768096768094,0.9923232323232324,,0.10627415155036389,0.01818181818181818,0.554244733102718,0.10569276130217452,0.10918751402844752,0.2556565656565657
1351,4-rw-all-channels-anomaly,hif,0,0.04107515710174234,0.0,0.1425595238095238,0.03456115149480465,0.16011904761904763,0.864949494949495,,0.00896220645548929,0.0,0.24583333333333335,0.008149370222848331,0.21666666666666667,0.3886868686868687
12,4-rw-all-channels-anomaly,hybrid_knn,0,0.036381355079127785,0.017857142857142856,0.021602884244735304,0.0329581018866214,0.03458507883429819,0.8634848484848485,,0.007999528284216385,0.0,0.06763833992094861,0.0072710669506304,0.09361001317523056,0.31656565656565655
