index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
757,4-rw-one-channels-extremum-anomaly-no-anomaly,autoencoder,0,0.00819672131147541,0.0,0.16666666666666666,0.004098360655737705,0.16666666666666666,0.8788788788788788,,-0.0,0.0,,0.5,,
4893,4-rw-one-channels-extremum-anomaly-no-anomaly,cblof,0,0.029411764705882353,0.019801980198019802,0.125,0.014705882352941176,0.125,0.9669669669669669,,-0.0,0.0,,0.5,,
2354,4-rw-one-channels-extremum-anomaly-no-anomaly,cof,0,0.3333333333333333,0.019801980198019802,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.997997997997998,,-0.0,0.0,,0.5,,
4491,4-rw-one-channels-extremum-anomaly-no-anomaly,copod,0,0.00141643059490085,0.0,0.1,0.000708215297450425,0.1,0.2942942942942943,,-0.0,0.0,,0.5,,
4241,4-rw-one-channels-extremum-anomaly-no-anomaly,dae,0,0.020833333333333332,0.019801980198019802,0.25,0.010416666666666666,0.25,0.9529529529529529,,-0.0,0.0,,0.5,,
3146,4-rw-one-channels-extremum-anomaly-no-anomaly,damp,0,0.00847457627118644,0.0,0.020833333333333332,0.00423728813559322,0.020833333333333332,0.8828828828828829,,-0.0,0.0,,0.5,,
3107,4-rw-one-channels-extremum-anomaly-no-anomaly,deepant,0,0.0026455026455026454,0.0,0.1,0.0013227513227513227,0.1,0.6226226226226227,,-0.0,0.0,,0.5,,
2178,4-rw-one-channels-extremum-anomaly-no-anomaly,deepnap,0,0.0037313432835820895,0.0,0.0018248175182481751,0.0018656716417910447,0.0018248175182481751,0.7327327327327328,,-0.0,0.0,,0.5,,
1148,4-rw-one-channels-extremum-anomaly-no-anomaly,encdec_ad,0,0.001968503937007874,0.0,0.0007575757575757576,0.000984251968503937,0.0007575757575757576,0.4924924924924925,,-0.0,0.0,,0.5,,
583,4-rw-one-channels-extremum-anomaly-no-anomaly,fast_mcd,0,0.01098901098901099,0.019801980198019802,0.25,0.005494505494505495,0.25,0.9099099099099099,,-0.0,0.0,,0.5,,
2701,4-rw-one-channels-extremum-anomaly-no-anomaly,gdn,0,0.0012690355329949238,0.0,0.017857142857142856,0.0006345177664974619,0.017857142857142856,0.20020325203252032,,-0.0,0.0,,0.5,,
1666,4-rw-one-channels-extremum-anomaly-no-anomaly,hbos,0,0.001379310344827586,0.0,0.0007142857142857143,0.000689655172413793,0.0007142857142857143,0.2752752752752753,,-0.0,0.0,,0.5,,
517,4-rw-one-channels-extremum-anomaly-no-anomaly,health_esn,0,0.0064516129032258064,0.0,0.0020833333333333333,0.0032258064516129032,0.0020833333333333333,0.8458458458458459,,-0.0,0.0,,0.5,,
1369,4-rw-one-channels-extremum-anomaly-no-anomaly,hif,0,0.002074688796680498,0.0,0.1,0.001037344398340249,0.1,0.5185185185185186,,-0.0,0.0,,0.5,,
33,4-rw-one-channels-extremum-anomaly-no-anomaly,hybrid_knn,0,0.0012254901960784314,0.0,0.00039936102236421724,0.0006127450980392157,0.00039936102236421724,0.18568568568568566,,-0.0,0.0,,0.5,,
3694,4-rw-one-channels-extremum-anomaly-no-anomaly,if_lof,0,0.015384615384615385,0.019801980198019802,0.1,0.007692307692307693,0.1,0.9359359359359359,,-0.0,0.0,,0.5,,
2564,4-rw-one-channels-extremum-anomaly-no-anomaly,iforest,0,0.002183406113537118,0.0,0.1,0.001091703056768559,0.1,0.5425425425425425,,-0.0,0.0,,0.5,,
4579,4-rw-one-channels-extremum-anomaly-no-anomaly,kmeans,0,0.25,0.019801980198019802,0.011111111111111112,0.125,0.011111111111111112,0.996996996996997,,-0.0,0.0,,0.5,,
1194,4-rw-one-channels-extremum-anomaly-no-anomaly,knn,0,0.017241379310344827,0.019801980198019802,0.125,0.008620689655172414,0.125,0.9429429429429429,,-0.0,0.0,,0.5,,
2958,4-rw-one-channels-extremum-anomaly-no-anomaly,laser_dbn,0,,0.0,0.5005,,0.5005,,,-0.0,0.0,,0.5,,
4090,4-rw-one-channels-extremum-anomaly-no-anomaly,lstm-vae,0,,0.0,0.5005,,0.5005,,,,0.0,0.5,,0.5,
2262,4-rw-one-channels-extremum-anomaly-no-anomaly,lstm_ad,0,0.0013315579227696406,0.0,0.004201680672268907,0.0006657789613848203,0.004201680672268907,0.2492492492492493,,-0.0,0.0,,0.5,,
1925,4-rw-one-channels-extremum-anomaly-no-anomaly,mstamp,0,0.002352941176470588,0.0,0.019230769230769232,0.001176470588235294,0.019230769230769232,0.5755755755755756,,-0.0,0.0,,0.5,,
2692,4-rw-one-channels-extremum-anomaly-no-anomaly,multi_hmm,0,0.0010526315789473684,0.0,0.0003333333333333333,0.0005263157894736842,0.0003333333333333333,0.052552552552552534,,-0.0,0.0,,0.5,,
