index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
754,4-rw-one-channels-extremum-anomaly,autoencoder,0,0.008333333333333333,0.0,0.25,0.004166666666666667,0.25,0.8808808808808809,,0.001364256480218281,0.0,0.125,0.0006821282401091405,0.125,0.26726726726726724
4881,4-rw-one-channels-extremum-anomaly,cblof,0,0.029411764705882353,0.019801980198019802,0.125,0.014705882352941176,0.125,0.9669669669669669,,0.011235955056179775,0.019801980198019802,0.0625,0.0056179775280898875,0.0625,0.9119119119119119
2380,4-rw-one-channels-extremum-anomaly,cof,0,0.3333333333333333,0.019801980198019802,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.997997997997998,,1.0,0.019801980198019802,1.0,1.0,1.0,1.0
4437,4-rw-one-channels-extremum-anomaly,copod,0,0.00141643059490085,0.0,0.1,0.000708215297450425,0.1,0.2942942942942943,,0.001088139281828074,0.0,0.0005122950819672131,0.000544069640914037,0.0005122950819672131,0.08108108108108103
4255,4-rw-one-channels-extremum-anomaly,dae,0,0.002570694087403599,0.0,0.0008143322475570033,0.0012853470437017994,0.0008143322475570033,0.6116116116116116,,0.005780346820809248,0.0,0.0017006802721088435,0.002890173410404624,0.0017006802721088435,0.8278278278278278
3230,4-rw-one-channels-extremum-anomaly,damp,0,0.00847457627118644,0.0,0.020833333333333332,0.00423728813559322,0.020833333333333332,0.8828828828828829,,0.002197802197802198,0.0,0.0018315018315018315,0.001098901098901099,0.0018315018315018315,0.5455455455455456
3095,4-rw-one-channels-extremum-anomaly,deepant,0,0.0012484394506866417,0.0,0.07142857142857142,0.0006242197253433209,0.07142857142857142,0.19919919919919915,,0.0017574692442882249,0.0,0.0003912363067292645,0.0008787346221441124,0.0003912363067292645,0.4314314314314315
2189,4-rw-one-channels-extremum-anomaly,deepnap,0,0.0035335689045936395,0.0,0.001968503937007874,0.0017667844522968198,0.001968503937007874,0.7177177177177178,,0.0010695187165775401,0.0,0.0005694760820045558,0.0005347593582887701,0.0005694760820045558,0.06506506506506504
1015,4-rw-one-channels-extremum-anomaly,encdec_ad,0,0.5,0.019801980198019802,0.0625,0.25,0.0625,0.998998998998999,,0.00211864406779661,0.0,0.000689655172413793,0.001059322033898305,0.000689655172413793,0.5285285285285286
699,4-rw-one-channels-extremum-anomaly,fast_mcd,0,0.003424657534246575,0.0,0.0008503401360544217,0.0017123287671232876,0.0008503401360544217,0.7087087087087087,,0.0017064846416382253,0.0,0.08333333333333333,0.0008532423208191126,0.08333333333333333,0.4144144144144144
