index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
843,4-rw-one-channels-variance-anomaly-no-anomaly,autoencoder,0,0.17504092817212,0.0,0.3117511012089413,0.17368627300201744,0.37837230369642416,0.6046352941176469,,-0.0,0.0,,0.5,,
4976,4-rw-one-channels-variance-anomaly-no-anomaly,cblof,0,0.17100972548439183,0.10400000000000001,0.13565052788270948,0.16923237184887457,0.2655905712181027,0.5797019607843138,,-0.0,0.0,,0.5,,
2436,4-rw-one-channels-variance-anomaly-no-anomaly,cof,0,0.2620217028294294,0.36000000000000004,0.2715936237897838,0.25889966824528177,0.5650244272146407,0.6326117647058824,,-0.0,0.0,,0.5,,
4413,4-rw-one-channels-variance-anomaly-no-anomaly,copod,0,0.10271482367305765,0.0,0.2516246411335386,0.10196626436406542,0.5055391988370506,0.3059450980392157,,-0.0,0.0,,0.5,,
4169,4-rw-one-channels-variance-anomaly-no-anomaly,dae,0,0.10106126905219848,0.0,0.16595635086506633,0.10034461739374559,0.19846025089164376,0.2889176470588235,,-0.0,0.0,,0.5,,
3232,4-rw-one-channels-variance-anomaly-no-anomaly,damp,0,0.22684445105562792,0.04,0.1334411527432661,0.22439934622664426,0.26213837548904023,0.7326039215686275,,-0.0,0.0,,0.5,,
3041,4-rw-one-channels-variance-anomaly-no-anomaly,deepant,0,0.09902668989067066,0.0,0.06097419781293615,0.09830081782753738,0.2132377480356885,0.27784313725490195,,-0.0,0.0,,0.5,,
2115,4-rw-one-channels-variance-anomaly-no-anomaly,deepnap,0,0.1666255129110083,0.0,0.08531844945799842,0.1655159308676375,0.16611220450991318,0.6035686274509804,,-0.0,0.0,,0.5,,
1064,4-rw-one-channels-variance-anomaly-no-anomaly,encdec_ad,0,0.15087693817301068,0.0,0.18260657295941501,0.14966282151444693,0.20150763827827645,0.49668235294117646,,-0.0,0.0,,0.5,,
658,4-rw-one-channels-variance-anomaly-no-anomaly,fast_mcd,0,0.12114777732763393,0.0,0.12312027262706564,0.120341213509875,0.2626611721177914,0.409843137254902,,-0.0,0.0,,0.5,,
2790,4-rw-one-channels-variance-anomaly-no-anomaly,gdn,0,0.10185990589337118,0.0,0.08109143605931704,0.101098343633653,0.40123393912376504,0.28966067864271455,,-0.0,0.0,,0.5,,
1733,4-rw-one-channels-variance-anomaly-no-anomaly,hbos,0,0.1304636108341361,0.023999999999999997,0.1579240497929683,0.12462026775690487,0.3163725473041178,0.41700000000000004,,-0.0,0.0,,0.5,,
462,4-rw-one-channels-variance-anomaly-no-anomaly,health_esn,0,0.11471984818113386,0.0,0.296689244535114,0.11399913466380664,0.6502512962009364,0.3520862745098039,,-0.0,0.0,,0.5,,
1419,4-rw-one-channels-variance-anomaly-no-anomaly,hif,0,0.10458945437229047,0.0,0.13150844564737346,0.10390926086254564,0.3822416064511796,0.29179607843137256,,-0.0,0.0,,0.5,,
95,4-rw-one-channels-variance-anomaly-no-anomaly,hybrid_knn,0,0.19207286704349014,0.0,0.21527477804315184,0.18566005368038263,0.29053355470232756,0.6633490196078432,,-0.0,0.0,,0.5,,
3620,4-rw-one-channels-variance-anomaly-no-anomaly,if_lof,0,0.15199789148924042,0.05600000000000001,0.20387198611336388,0.14570712778196301,0.38652627164024644,0.4950862745098039,,-0.0,0.0,,0.5,,
2476,4-rw-one-channels-variance-anomaly-no-anomaly,iforest,0,0.14759184736997638,0.032,0.24552475945355962,0.14621298191147802,0.5537076712361249,0.4706117647058824,,-0.0,0.0,,0.5,,
4661,4-rw-one-channels-variance-anomaly-no-anomaly,kmeans,0,0.5048408174277066,0.488,0.13356294518787964,0.50119934588385,0.41711382222289334,0.9085254901960784,,-0.0,0.0,,0.5,,
1277,4-rw-one-channels-variance-anomaly-no-anomaly,knn,0,0.20315032006303685,0.016,0.23543311099631972,0.20147827756218611,0.4432661371344979,0.6278862745098039,,-0.0,0.0,,0.5,,
2880,4-rw-one-channels-variance-anomaly-no-anomaly,laser_dbn,0,,0.0,0.575,,0.575,,,-0.0,0.0,,0.5,,
4030,4-rw-one-channels-variance-anomaly-no-anomaly,lstm-vae,0,,0.0,0.575,,0.575,,,,0.0,0.5,,0.5,
2326,4-rw-one-channels-variance-anomaly-no-anomaly,lstm_ad,0,0.1372217914482303,0.0,0.0639539246605891,0.13627000857057192,0.1194254850122647,0.4991450980392157,,-0.0,0.0,,0.5,,
2005,4-rw-one-channels-variance-anomaly-no-anomaly,mstamp,0,0.41170414646428977,0.48,0.12842366653735093,0.4081907454343016,0.3405918047733052,0.8399764705882353,,-0.0,0.0,,0.5,,
2654,4-rw-one-channels-variance-anomaly-no-anomaly,multi_hmm,0,0.10831702520973337,0.0,0.3842072121084385,0.10659208200010623,0.6251154495935229,0.32301960784313727,,-0.0,0.0,,0.5,,
1464,4-rw-one-channels-variance-anomaly-no-anomaly,multi_subsequence_lof,0,0.2356676370319071,0.0,0.21244627336406333,0.23393098223218345,0.27773778482336475,0.6900156862745097,,-0.0,0.0,,0.5,,
3707,4-rw-one-channels-variance-anomaly-no-anomaly,normalizing_flows,0,0.10516907235745601,0.0,0.35506777645582815,0.10449346770012471,0.3599477222238257,0.2912313725490196,,-0.0,0.0,,0.5,,
4818,4-rw-one-channels-variance-anomaly-no-anomaly,omni,0,0.2041471352639181,0.0,0.19716742634773254,0.20288505065835025,0.2629079818725586,0.6706450270495213,,-0.0,0.0,,0.5,,
377,4-rw-one-channels-variance-anomaly-no-anomaly,pca,0,0.1409843622738876,0.0,,0.1323056704366269,,0.4741725490196078,,,,,,,
3357,4-rw-one-channels-variance-anomaly-no-anomaly,pcc,0,0.10700285534122495,0.0,0.13048235776207107,0.10631609869089874,0.521780982451552,0.3051686274509804,,-0.0,0.0,,0.5,,
