index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
827,4-saw-all,autoencoder,0,0.9921455940433521,0.8032128514056226,0.7255151133821436,0.9921309759971794,0.9386179326825301,0.996821741496384,,0.9939798876116527,0.8032128514056226,0.7712205227106929,0.9939614756502134,0.9584003053792586,0.9988327983659177
4854,4-saw-all,cblof,0,0.6924387958823769,0.6746987951807228,0.6909665981445465,0.6920800896838483,0.6288670099377105,0.7615635769998186,,0.6745184891042169,0.6265060240963854,0.7550589943931145,0.6740809299907985,0.5706322203205347,0.7668633033383545
2437,4-saw-all,cof,0,0.5899441492281441,0.46586345381526106,0.5827139365497285,0.5886378456595206,0.35480288946825556,0.849864746567402,,0.47686832014274544,0.4257028112449799,0.5432268887174269,0.4750342997668513,0.3104929459343489,0.8190048817419696
4486,4-saw-all,copod,0,0.17877947324057641,0.048192771084337345,0.1843665601755466,0.17732579105289828,0.4037156968284388,0.646826867719777,,0.1678436164067741,0.024096385542168672,0.10776725288972751,0.16637534329067516,0.26311656571371594,0.608506376233251
4172,4-saw-all,dae,0,0.45907118193961427,0.2891566265060241,0.5794291163831347,0.45712492824526607,0.3438944703601919,0.8575856276469057,,0.48229239852720407,0.24096385542168675,0.6076383965230867,0.4804890902882808,0.41279975533546354,0.8879486431281004
3182,4-saw-all,damp,0,0.9526769981648069,0.7871485943775101,0.6776643290569572,0.9525578023242617,0.8328473989852395,0.9872002145127328,,0.9739285775480938,0.8032128514056226,0.7291396306545902,0.9738820309264834,0.9460766459882598,0.9910015063210278
3024,4-saw-all,deepant,0,0.23372457527003154,0.3694779116465864,0.15493069698069947,0.23111610389848053,0.1677259119452955,0.5471021064834897,,0.2086362072350072,0.36144578313253006,0.09238873209224661,0.20604047558705352,0.1665120000767719,0.4751141570517118
2095,4-saw-all,deepnap,0,0.2250557161280241,0.09638554216867469,0.5663322486076281,0.22368656987985366,0.18755949136712532,0.6272998998414814,,0.27094760014184843,0.16064257028112452,0.5650167303272815,0.26954347011524016,0.18208543337268968,0.6491060655052485
1096,4-saw-all,encdec_ad,0,0.15659439982684853,0.09638554216867469,0.1250091556538846,0.15494461110455993,0.14856315178666266,0.5673782916269056,,0.1372322633920212,0.0,0.08793170473779095,0.13608469064912881,0.1449248150641364,0.5044598143518482
603,4-saw-all,fast_mcd,0,0.9623710210587846,0.8032128514056226,0.6480254046494909,0.9622565184426766,0.7753129900712297,0.9914037176949345,,0.893067012344331,0.6827309236947792,0.6553769085895024,0.8927140655505602,0.6951651774663026,0.9796134038911979
2760,4-saw-all,gdn,0,0.07830269191479194,0.1754385964912281,0.03409904343197116,0.07145041225455753,0.04040922097394125,0.8768384879725086,,-0.0,0.0,,0.5,,
1703,4-saw-all,hbos,0,0.15976823143389618,0.0,0.09537408733573621,0.15717424485531709,0.2574227123982737,0.5833957681054268,,0.13952010005820953,0.0,0.08264593596257483,0.13720145093976055,0.21792629985157744,0.5170308914108156
557,4-saw-all,health_esn,0,0.5755668222853335,0.4819277108433735,0.5644813169790764,0.5727155280664049,0.33840475542008436,0.9147942807119931,,0.14981732407490347,0.14457831325301204,0.20336363606877378,0.1475670192041132,0.21561454797865331,0.48480666251311133
1398,4-saw-all,hif,0,0.7849014549972039,0.6345381526104418,0.5866233153565057,0.7838687632550171,0.5018264659322764,0.9609618372384641,,0.7603474108880695,0.5622489959839357,0.602865038066033,0.75957452785149,0.4895947577194071,0.948083186775921
129,4-saw-all,hybrid_knn,0,0.08969115847184508,0.0,0.2372139391119361,0.08879048625714303,0.39641206128145084,0.19592031482898128,,0.08871101038418353,0.0,0.2424949493594924,0.08808688969124977,0.40996352872759645,0.18299040213250894
3558,4-saw-all,if_lof,0,0.9942885906040269,0.8032128514056226,0.901860149534911,0.9948189729594252,0.9804540798304486,0.9953272502149071,,0.9831787116849903,0.7951807228915664,0.7757344404425494,0.9836562106304299,0.8865968837081519,0.9934344908082872
2506,4-saw-all,iforest,0,0.6877720396578877,0.5060240963855421,0.6016857308520452,0.6862798965913655,0.4557224769126234,0.9431304663285989,,0.6198604511630621,0.4899598393574297,0.5975753413011409,0.6183805515176979,0.37126295458685454,0.9107248479877602
4700,4-saw-all,kmeans,0,0.7435884952579421,0.6907630522088354,0.6554449914466707,0.7430723767489997,0.6872974887275931,0.8937136728207635,,0.7423202918974032,0.6746987951807228,0.6625375941386735,0.741669479831324,0.6834624849272516,0.9078147304000821
1160,4-saw-all,knn,0,0.9955510340429409,0.8032128514056226,0.849336451492627,0.9955459898638512,0.9766371088018091,0.9976892562244183,,0.9949995974153518,0.8032128514056226,0.8654600489751496,0.9949824443242241,0.9619743485095833,0.9991324852719659
2920,4-saw-all,laser_dbn,0,,0.0,0.5745,,0.5745,,,0.3292658847578892,0.28800000000000003,0.07872348986216135,0.32381837863865726,0.18239825734911796,0.8048407321824306
4052,4-saw-all,lstm-vae,0,,0.0,0.5075,,0.5075,,,,0.0,0.5075,,0.5075,
