index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
809,4-sine-all-channel-anomaly,autoencoder,0,0.04098741064260854,0.11428571428571428,0.04505023669326163,0.038808982850274634,0.0619046824766854,0.4377083333333333,,0.038746548467059876,0.07142857142857144,0.04964326363834622,0.03695715204275454,0.07235747283610228,0.43502604166666664
4843,4-sine-all-channel-anomaly,cblof,0,0.10672224516298867,0.21428571428571425,0.09034707189083041,0.10139847877242739,0.08926158709641763,0.7599479166666667,,0.0549990220897916,0.07142857142857144,0.0391488767478287,0.05272049140160296,0.04875059881193663,0.6408854166666667
2435,4-sine-all-channel-anomaly,cof,0,0.09052176626949503,0.14285714285714288,0.08501486721459611,0.0847233527590793,0.09868000574169383,0.7422916666666667,,0.10635884843440334,0.1285714285714286,0.22806179836029142,0.1016189174351512,0.11251934868018934,0.65828125
4530,4-sine-all-channel-anomaly,copod,0,0.058525141867446895,0.1285714285714286,0.021185672940713208,0.0540817681940371,0.04412109622190713,0.52625,,0.053496968418021484,0.08571428571428572,0.03547131153114845,0.05023629361744258,0.052652085116147974,0.5211458333333333
4265,4-sine-all-channel-anomaly,dae,0,0.18062085568788688,0.2428571428571429,0.07688803007992752,0.171891310218173,0.10134989047838079,0.698125,,0.1838304971436995,0.2571428571428572,0.10117460603896475,0.1754564213009067,0.12012952323181969,0.6947916666666667
3254,4-sine-all-channel-anomaly,damp,0,0.06634105946341419,0.08571428571428572,0.06690632586731113,0.0627727699788269,0.06935333639696083,0.6887239583333333,,0.06458003541098117,0.05714285714285714,0.044998481044268665,0.06005468919899182,0.05432655939838603,0.6897395833333333
2982,4-sine-all-channel-anomaly,deepant,0,0.47923568573493175,0.4714285714285714,0.3444105091813745,0.4677631589409652,0.34268493512672527,0.9091145833333333,,0.4752786346658218,0.44285714285714284,0.29424435781994146,0.463343859499049,0.3177868733216847,0.9271614583333334
2131,4-sine-all-channel-anomaly,deepnap,0,0.032059194750450756,0.0,0.037799901713137185,0.031186278431270267,0.04482821204107648,0.40989583333333335,,0.03229646219456807,0.0,0.049868856955374075,0.031431132018513934,0.05221714874482683,0.4111458333333333
1054,4-sine-all-channel-anomaly,encdec_ad,0,0.027917254898828327,0.0,0.05679337746405256,0.027123712631707188,0.07263585968433751,0.32528645833333336,,0.028501297538312965,0.0,0.05996377394403391,0.027708518186341388,0.07841867200501401,0.33697916666666666
599,4-sine-all-channel-anomaly,fast_mcd,0,0.059035235601125634,0.1,0.08148447421407412,0.05412169912336363,0.10716635756857333,0.567109375,,0.05612678630707378,0.08571428571428572,0.058873892412472366,0.0525792557599343,0.07610634850514106,0.5693229166666667
2812,4-sine-all-channel-anomaly,gdn,0,0.44329169268487534,0.3453237410071942,0.33202257723013884,0.43697714248496383,0.2522457434741926,0.8023544973544973,,-0.0,0.0,,0.5,,
1660,4-sine-all-channel-anomaly,hbos,0,0.09709809694019975,0.15714285714285714,0.09663161959277909,0.08898847861763526,0.07598154852187987,0.6972265625,,0.08259259786133524,0.11428571428571428,0.04587656350427697,0.0784076795066983,0.060315639822992734,0.7344270833333334
465,4-sine-all-channel-anomaly,health_esn,0,0.23395140271708884,0.2571428571428572,0.11312106981628216,0.22175034793846443,0.1151601157693262,0.7435156249999999,,0.08188527365493527,0.1285714285714286,0.08787175138618812,0.0708925094766306,0.07270498410229996,0.49971354166666665
1365,4-sine-all-channel-anomaly,hif,0,0.20086840233722175,0.3,0.08170494972097678,0.18795731422962803,0.0848962134533183,0.7015625,,0.19255485198012354,0.2571428571428572,0.08245477733619508,0.1797204485873106,0.08177588815310077,0.7057552083333334
57,4-sine-all-channel-anomaly,hybrid_knn,0,0.03384052605930562,0.02857142857142857,0.05776242567047795,0.03226590654050826,0.09093207004089021,0.3947395833333333,,0.03399549608309839,0.02857142857142857,0.05084282044705146,0.032593126190615315,0.09131472085240368,0.39835937499999996
3607,4-sine-all-channel-anomaly,if_lof,0,0.05665419815609345,0.08571428571428572,0.0770585899254943,0.0537706100226394,0.06579228240008003,0.5996614583333333,,0.054536200306354254,0.07142857142857144,0.0628320612110607,0.0506700748254493,0.057097052744607475,0.5725520833333333
2570,4-sine-all-channel-anomaly,iforest,0,0.13228499977421487,0.21428571428571425,0.0740337873549333,0.12230509549297425,0.07015967137109479,0.6429427083333334,,0.11389278744973161,0.2428571428571429,0.05949340750528659,0.10726922719814004,0.07973949894994033,0.647265625
4619,4-sine-all-channel-anomaly,kmeans,0,0.5832924638338695,0.4285714285714285,0.5449927766612253,0.5743880694996216,0.49581723185439974,0.8856770833333333,,0.5008093086371794,0.4285714285714285,0.552662373296883,0.49025483818175525,0.4745471899064363,0.9077604166666666
1260,4-sine-all-channel-anomaly,knn,0,0.043653542664962956,0.05714285714285714,0.028313094876755745,0.041376859823861675,0.04203440696060361,0.5208984375,,0.041724173737548956,0.04285714285714286,0.02386288536956383,0.039741945441646186,0.035318156795289685,0.51609375
2947,4-sine-all-channel-anomaly,laser_dbn,0,,0.0,0.52,,0.52,,,0.13901237799281638,0.18571428571428572,0.08495301139498146,0.12533329759161224,0.07950482906255321,0.6978385416666667
3981,4-sine-all-channel-anomaly,lstm-vae,0,,0.0,0.52,,0.52,,,,0.0,0.52,,0.52,
2227,4-sine-all-channel-anomaly,lstm_ad,0,0.03325516435842775,0.0,0.028414420324127557,0.03221694694379662,0.07554321143220938,0.4308854166666667,,0.03268717113929841,0.0,0.026694885242727485,0.03168750707792769,0.08097439482112007,0.4234895833333333
2052,4-sine-all-channel-anomaly,mstamp,0,0.16297865989820848,0.2,0.2529269560140073,0.1587895066569304,0.1222199739565703,0.7691927083333333,,0.10575530774099277,0.2,0.07220456181953216,0.09963355577147594,0.08143791468780245,0.7718229166666667
2696,4-sine-all-channel-anomaly,multi_hmm,0,0.2566725776188197,0.18666666666666665,0.19599430831281278,0.2976316875956204,0.1872508755052145,0.7355729166666666,,0.3177974280148163,0.1843971631205674,0.23952186061778802,0.34190807223644,0.2359006517857355,0.7243880208333333
1559,4-sine-all-channel-anomaly,multi_subsequence_lof,0,0.16372616669221546,0.35714285714285715,0.12464230393782019,0.15831567793562787,0.12765690465681825,0.8030208333333334,,0.1638794003001393,0.34285714285714286,0.12514950328220426,0.15803851485318118,0.15360670362142034,0.80296875
3817,4-sine-all-channel-anomaly,normalizing_flows,0,0.03887578718278096,0.0,0.07566572724687345,0.03787557313536983,0.09716967804142326,0.5065364583333334,,0.03879367512077407,0.0,0.07503111065823481,0.03779711683487623,0.097939836500172,0.5050260416666666
4795,4-sine-all-channel-anomaly,omni,0,0.08372330534464731,0.14705882352941177,0.07566188275814056,0.07761379985951003,0.11395263671875,0.38745883644346873,,0.04174087870187995,0.13235294117647062,0.08982816338539124,0.039143389906020086,0.13452483713626862,0.3088913282107574
418,4-sine-all-channel-anomaly,pca,0,0.19847735365978397,0.14864864864864866,0.22851156870162587,0.20745606992966342,0.21833847157927117,0.5166927083333334,,0.11701302206768109,0.2702702702702703,0.11010162605206233,0.08224619083276755,0.10584876908839505,0.5209114583333334
3386,4-sine-all-channel-anomaly,pcc,0,0.17207820717568112,0.2428571428571429,0.07107916749249323,0.16172617958014657,0.098658961463193,0.6338020833333333,,0.1894102639937313,0.22857142857142856,0.06918363630387275,0.17777311591982758,0.11555650650865533,0.5689843749999999
1828,4-sine-all-channel-anomaly,random_black_forest,0,0.2904209185997566,0.2714285714285714,0.11584915265210734,0.27532552521957665,0.13661562034164546,0.7476822916666668,,0.24140540497002486,0.2571428571428572,0.06262825965348498,0.2272506981975707,0.09372328256020876,0.7268489583333334
896,4-sine-all-channel-anomaly,robust_pca,0,0.026256962430590686,0.0,0.037904033199119676,0.025505759926923933,0.05039631412977483,0.28216145833333334,,0.026379241129906014,0.0,0.039713378711294094,0.025620050788737928,0.07085851863821133,0.2866666666666667
168,4-sine-all-channel-anomaly,subsequence_knn,0,0.16895482887959562,0.3,0.2536662795979939,0.16320940728442695,0.18549331543029918,0.7957161458333333,,0.16711964322185074,0.3142857142857143,0.12106659600772621,0.16139128456108842,0.11670960386717609,0.7859375
3937,4-sine-all-channel-anomaly,tanogan,0,0.04,0.07692307692307693,0.02,0.02,0.02,0.49114583333333334,,0.04,0.07692307692307693,0.02,0.02,0.02,0.49114583333333334
4354,4-sine-all-channel-anomaly,telemanom,0,0.05288701310844204,0.0,0.12179560386955854,0.05149935301071201,0.17185176942265523,0.6471614583333334,,0.05731293912312093,0.0,0.13221095745301484,0.055684754597918634,0.14944951349880747,0.6813020833333334
3468,4-sine-all-channel-anomaly,usad,0,0.09496856982043891,0.152046783625731,0.0964292585849762,0.09260052821502922,0.14194780588150024,0.5171033478893742,0.6100188493728638,0.12479022636813354,0.23391812865497078,0.1059509888291359,0.1207011208695386,0.16936470568180084,0.5535086123241144
