index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
769,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,autoencoder,0,0.08388284712496433,0.10850942318675041,0.07071181324715259,0.083470954599523,0.08029377203910334,0.53746926827948,,-0.0,0.0,,0.5,,
4864,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,cblof,0,0.1596298848162826,0.1758994860079954,0.28872644231139794,0.1589411750516585,0.18247864639833877,0.6138362530717324,,-0.0,0.0,,0.5,,
2339,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,cof,0,0.22734873641327683,0.29811536264991434,0.4375218132516316,0.22655239542182914,0.2420903188251612,0.7013310828291222,,-0.0,0.0,,0.5,,
4419,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,copod,0,0.09225018578161916,0.12792689891490577,0.13265541701662695,0.09124592550012578,0.11068273144324049,0.5047659811065335,,-0.0,0.0,,0.5,,
4170,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,dae,0,0.08176908632631602,0.09708737864077671,0.06480585501661272,0.08135989140734627,0.07784401795629799,0.5313265953536704,,-0.0,0.0,,0.5,,
3183,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,damp,0,0.058553261750763946,0.0,0.040090688039347414,0.05844219820931178,0.048618361904730234,0.4113511965665414,,-0.0,0.0,,0.5,,
3102,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,deepant,0,0.21917299836098664,0.22501427755568246,0.40240684178662856,0.21885836121016658,0.25243077197591024,0.5984625105762325,,-0.0,0.0,,0.5,,
2188,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,deepnap,0,0.09057479992417,0.08338092518560822,0.12294120306672682,0.09029186271250728,0.08251128343584169,0.5480193705757803,,-0.0,0.0,,0.5,,
1056,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,encdec_ad,0,0.10223258354724567,0.15419760137064534,0.09436519722727212,0.10170059886421101,0.09552890201484403,0.5773428703344183,,-0.0,0.0,,0.5,,
650,4-sine-long-9-diff-anomalies-one-channel-no-anomaly,fast_mcd,0,0.06888246376756978,0.04911479154768703,0.05088729605865443,0.06871205410428659,0.08295996963011101,0.4946312258323101,,-0.0,0.0,,0.5,,
