index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
757,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,autoencoder,0,0.006422432397847163,0.006591635652601489,0.005836687884788342,0.007086473821668228,0.43897602967464056,,-0.0,,0.5,,
2562,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,cof,0,0.4689624613359736,0.43296643433346804,0.46559008741306185,0.35049063663457725,0.9615889110553898,,-0.0,,0.5,,
4764,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,copod,0,0.006399122113203923,0.010041705271158457,0.005892749196467002,0.010466849430799006,0.4199230069977,,-0.0,,0.5,,
4450,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,dae,0,0.00687673988997302,0.013015837580877291,0.006580277276022631,0.014217427129257273,0.5372488728639322,,-0.0,,0.5,,
3393,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,damp,0,0.00971315804874771,0.0026235086752142782,0.008868308265339077,0.004393490413967544,0.5499081818791905,,-0.0,,0.5,,
3255,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,deepant,0,0.010422955394895052,0.025127146878230838,0.009640318518262986,0.023865712566109365,0.5375722190701051,,-0.0,,0.5,,
2388,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,deepnap,0,0.005886869149938247,0.010675234731634481,0.005633095410362613,0.011726176979168987,0.46816260043560226,,-0.0,,0.5,,
1001,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,encdec_ad,0,0.0055111234360118375,0.007703744180812131,0.005298725467390231,0.008524377292482985,0.4386526834684677,,-0.0,,0.5,,
635,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,fast_mcd,0,0.005683377027618957,0.017435306714248158,0.005459623776774687,0.018962009953890503,0.4560218655245834,,-0.0,,0.5,,
3070,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,gdn,0,0.00655516803943723,0.013324654099008265,0.005867871462552757,0.013809049304001507,0.4115631272335634,,-0.0,,0.5,,
1713,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,hbos,0,0.00826332081643711,0.007398485363336325,0.0069205599933029665,0.007510063058823883,0.4966353691942579,,-0.0,,0.5,,
475,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,health_esn,0,,0.5033,,0.5033,,,,0.5,,0.5,
1302,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,hif,0,0.006554869885620493,0.007752523793703897,0.006237009912256235,0.007623272285778785,0.4912421985101671,,-0.0,,0.5,,
129,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,hybrid_knn,0,0.009965364523949805,0.012562278166520197,0.009521645348482056,0.012942237379474733,0.668356608159306,,-0.0,,0.5,,
3877,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,if_lof,0,0.28674833917627396,0.26240671083173,0.28172676708837213,0.23371223415296927,0.8954158049185229,,-0.0,,0.5,,
2724,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,iforest,0,0.006910386468163559,0.010063437015565013,0.0063819460375009645,0.010358328106630666,0.47102695975254866,,-0.0,,0.5,,
4882,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,kmeans,0,0.007335299806400488,0.006797358594957973,0.006987703862879702,0.0072012243312360525,0.5499386862382635,,-0.0,,0.5,,
1248,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,knn,0,0.4349913321049022,0.33510834856245475,0.433202025642063,0.28972652415794287,0.8153083075571499,,-0.0,,0.5,,
3193,4-std_cut_wave-stdRatio_1-stdPast_70-no-anomaly,laser_dbn,0,,0.5033,,0.5033,,,,0.5,,0.5,
