index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
789,4-std_cut_wave-stdRatio_1-stdPast_70,autoencoder,0,0.005822480284248557,0.006025686811658438,0.005533878036501522,0.006709895996187251,0.4576691009145207,,0.005200689435696915,0.005989998721062061,0.004984968312795251,0.006741764693408787,0.403578771406434
2637,4-std_cut_wave-stdRatio_1-stdPast_70,cof,0,0.4689624613359736,0.43296643433346804,0.46559008741306185,0.35049063663457725,0.9615889110553898,,0.3549351070339458,0.37533924399531365,0.3481278544142809,0.300905835942676,0.9155517323425517
4689,4-std_cut_wave-stdRatio_1-stdPast_70,copod,0,0.006399122113203923,0.010041705271158457,0.005892749196467002,0.010466849430799006,0.4199230069977,,0.00499917920654289,0.017716473971602812,0.004766056735606381,0.019261204150836427,0.37040833135054996
4480,4-std_cut_wave-stdRatio_1-stdPast_70,dae,0,0.010768691015569484,0.00754773120555133,0.009827818142325513,0.009572327431174366,0.6169384605060063,,0.00774665957152239,0.012900511163851769,0.007268265677885959,0.01427477410096065,0.5356931505512138
3482,4-std_cut_wave-stdRatio_1-stdPast_70,damp,0,0.00971315804874771,0.0026235086752142782,0.008868308265339077,0.004393490413967544,0.5499081818791905,,0.007322963669655506,0.0030747376079218215,0.006831080278923716,0.0043597808347158535,0.4745624149690991
3260,4-std_cut_wave-stdRatio_1-stdPast_70,deepant,0,0.009078836513776518,0.017109512032507827,0.008464470539356329,0.02003732098845875,0.536345943835374,,0.006793934325302512,0.013655551495930777,0.006464612211874734,0.01443284097760483,0.5126196533484635
2375,4-std_cut_wave-stdRatio_1-stdPast_70,deepnap,0,0.005361373550863792,0.008058116240682894,0.005130569840054377,0.008744414595047075,0.42005722617762076,,0.006428351869632889,0.010702983724533582,0.006047608213538082,0.011600555284766117,0.43714576813026584
1116,4-std_cut_wave-stdRatio_1-stdPast_70,encdec_ad,0,0.009507842384759288,0.008496126699657651,0.008957412625264016,0.009216757087900445,0.6183843671260623,,0.009272270339689097,0.00706716488072618,0.008548642012498596,0.007556246224606759,0.5405067384129192
603,4-std_cut_wave-stdRatio_1-stdPast_70,fast_mcd,0,0.007186953209108779,0.029418151879576256,0.006896995460236791,0.031010242277058765,0.5584372006759766,,0.005382815556151407,0.02593137185642176,0.005152573534883709,0.026709105122260508,0.4144322223645759
3030,4-std_cut_wave-stdRatio_1-stdPast_70,gdn,0,0.005915665790290338,0.010544560824910334,0.005518667273533948,0.01057062788779019,0.44048930337298675,,-0.0,,0.5,,
1737,4-std_cut_wave-stdRatio_1-stdPast_70,hbos,0,0.00826332081643711,0.007398485363336325,0.0069205599933029665,0.007510063058823883,0.4966353691942579,,0.009931979086927188,0.00970458840578913,0.008944045540331697,0.00973142158681569,0.6294666007772511
480,4-std_cut_wave-stdRatio_1-stdPast_70,health_esn,0,,0.5033,,0.5033,,,,0.5033,,0.5033,
1418,4-std_cut_wave-stdRatio_1-stdPast_70,hif,0,0.007620819075824701,0.010159789528803864,0.007200251014638341,0.010575060687328325,0.5235707182556387,,0.00524289980479954,0.01093525956195271,0.005012603856991977,0.012148000436977379,0.41207728584414716
