index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
753,4-std_cut_wave-stdRatio_2-stdPast_30,autoencoder,0,0.0017993017139163324,0.0,0.0018191922752744225,0.0016096074312879185,0.0021376730259432455,0.3323309275594761,,0.0020072394388526583,0.0,0.002245088664378004,0.0017764149905948106,0.002494724299567616,0.37999532210638864
4948,4-std_cut_wave-stdRatio_2-stdPast_30,cblof,0,0.004183648138120848,0.00390625,0.013923610569697795,0.003730290657125275,0.011773050435259613,0.7118417535418338,,0.0034854846873512047,0.00390625,0.007238665951438194,0.0030298984309186233,0.007179433660801952,0.6238138198342689
2343,4-std_cut_wave-stdRatio_2-stdPast_30,cof,0,0.08110034696029718,0.0234375,0.0037553872335646696,0.0632579189801301,0.0037785894591165063,0.7787523389468056,,0.10512747150394224,0.02734375,0.0070924138351285545,0.07473184687894757,0.006920093354895333,0.7880747126436781
4496,4-std_cut_wave-stdRatio_2-stdPast_30,copod,0,0.003086865499255458,0.0,0.0008841025857597143,0.0027570066231566897,0.000884923518096466,0.566075247260091,,0.0032569278323154693,0.0,0.002105660776907307,0.002888722434696682,0.0018793665854415465,0.5758654103180968
4133,4-std_cut_wave-stdRatio_2-stdPast_30,dae,0,0.005274087854569129,0.01171875,0.017932102019122195,0.0043611624983371875,0.016991092236245543,0.5735598770382251,,0.005338442062086057,0.01171875,0.004453071326907424,0.004398986145060417,0.004636801072964655,0.5700848703555199
3134,4-std_cut_wave-stdRatio_2-stdPast_30,damp,0,0.0032163683901922178,0.01171875,0.002557405523305312,0.00266561433042404,0.0029419258527399136,0.3312449879711307,,0.0037630194210083795,0.01171875,0.002257738096283893,0.003172723175898869,0.002561705723990059,0.5170408981555734
3085,4-std_cut_wave-stdRatio_2-stdPast_30,deepant,0,0.0017295960001755988,0.0,0.00430950698856323,0.0015807702570489715,0.004650593228756855,0.3006549051055868,,0.0017634773430582258,0.0,0.0037694647550890617,0.0016113061752769475,0.004525271715835076,0.31373630045442397
2080,4-std_cut_wave-stdRatio_2-stdPast_30,deepnap,0,0.0017120805995677517,0.0,0.010534118125277986,0.0015408808036613464,0.012919775949669208,0.28495054798182307,,0.0017238489694610508,0.0,0.0014796485354037368,0.0015515057334022433,0.0017478013891967558,0.2906141406041165
1077,4-std_cut_wave-stdRatio_2-stdPast_30,encdec_ad,0,0.0028234654399252246,0.0,0.0015070952354221331,0.002490248432356239,0.0016420942531270917,0.5282010157711842,,0.003209711647048657,0.0,0.0021666946471919886,0.0028279699872468898,0.002442147163036484,0.5572373696872495
672,4-std_cut_wave-stdRatio_2-stdPast_30,fast_mcd,0,0.0017473286097851738,0.0,0.010443617800703655,0.0016075707665087827,0.010482380514232685,0.28043972199946543,,0.0017515653885122003,0.0,0.008473702586437686,0.0016067946508254577,0.008046578153328427,0.29679564287623633
