index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
831,4-wave-all,autoencoder,0,0.08514653000788415,0.009005533732008032,0.04311468580293223,0.004853172727173959,0.3901705115346038,,0.0391297519253013,0.007680056776089127,0.020185955953853144,0.004249002441067143,0.47174857907054496
5017,4-wave-all,cblof,0,0.01254373124876722,0.16833277691333956,0.008199872739959396,0.08666555382667915,0.8134403209628887,,0.012504887012276176,0.11260492979242978,0.008217554897478987,0.05854319291819292,0.8141089936476095
2685,4-wave-all,cof,0,0.009658518367145605,0.003023312835699908,0.005887668795391952,0.002342921967696113,0.6760280842527583,,0.003774138490848587,0.003535149081634021,0.0027008159972754945,0.003366594459564339,0.4882982280173855
4680,4-wave-all,copod,0,0.0028456125913881585,0.0072747933151603526,0.002096101960946673,0.003911288757980281,0.32096288866599804,,0.002801425782955918,0.015454725041522469,0.002077004721945991,0.0160395203631599,0.30458040789033763
4454,4-wave-all,dae,0,0.004542000560381059,0.07679250963391135,0.0032910969635525193,0.0702516859344894,0.5670344366432631,,0.004659273341069575,0.08390881605167319,0.003373365477449859,0.06781763210334639,0.5743898361751921
3495,4-wave-all,damp,0,0.006386193805962741,0.0019648933983177404,0.0045798324757634545,0.0025408979077465917,0.6947509194249415,,0.007021618814962488,0.011343139184048275,0.004985851178575647,0.014352945034763217,0.716148445336008
3279,4-wave-all,deepant,0,0.5013831258644537,0.7167018001588906,0.4733754656715312,0.4334036003177813,0.7586091608157807,,0.5568343279340722,0.8060024587985113,0.5288439672107407,0.6120049175970228,0.7392176529588766
2382,4-wave-all,deepnap,0,0.00423634336677815,0.07228835978835979,0.0031574124116088434,0.06124338624338624,0.5369441658308258,,0.004120978334384628,0.04192630268481661,0.0030684753592383107,0.042185938702966566,0.5249080575058509
1105,4-wave-all,encdec_ad,0,0.014233003701199738,0.017410714285714286,0.01062509706950935,0.019196428571428573,0.8635907723169508,,0.014141712634620437,0.018452380952380953,0.01059233483878874,0.020238095238095236,0.8615847542627884
597,4-wave-all,fast_mcd,0,0.027474176611506692,0.06703969845513963,0.014838420601775907,0.03407939691027926,0.6934135740554999,,0.0163747237610874,0.004509055998108447,0.009250349083011497,0.002607855585960484,0.6817118020728853
3012,4-wave-all,gdn,0,0.006472805537606597,0.009632535674202341,0.0046052923727504195,0.01093173801507135,0.6985743380855397,,-0.0,,0.5,,
1781,4-wave-all,hbos,0,0.01131636897479814,0.015318477818477816,0.00611480549196528,0.012779812779812778,0.6758609160815781,,0.020864307836138823,0.0873045319045049,0.01327161157183243,0.09127573047567651,0.7238381812102976
441,4-wave-all,health_esn,0,,0.5015,,0.5015,,,,0.5015,,0.5015,
1402,4-wave-all,hif,0,0.3387226563327192,0.6707266113516113,0.33764258260692004,0.3414532227032227,0.7960548311601471,,0.33993544600938963,0.6693991472186961,0.33858199337920447,0.3486941657013576,0.8341691741892344
96,4-wave-all,hybrid_knn,0,0.3547008547008547,0.5052083333333333,0.42735042735042733,0.34375,0.9956536275493146,,0.3769230769230769,0.07112068965517242,0.25790598290598293,0.07974137931034483,0.9953192912069542
3934,4-wave-all,if_lof,0,0.6805555555555556,0.8541666666666666,0.6378968253968254,0.7083333333333334,0.9979939819458374,,0.8095238095238095,0.875,0.7936507936507936,0.75,0.9986626546305584
2788,4-wave-all,iforest,0,0.05224649859943977,0.015630986590038313,0.027506156981430274,0.010428639846743295,0.7606151788699431,,0.33912256221136916,0.6681464947089947,0.337944910358879,0.3447014463998159,0.8110999665663657
4904,4-wave-all,kmeans,0,0.9166666666666665,0.8611111111111112,0.9027777777777777,0.7222222222222223,0.9996656636576395,,0.9166666666666665,0.8611111111111112,0.9027777777777777,0.7222222222222223,0.9996656636576395
1208,4-wave-all,knn,0,0.33804311774461027,0.6677467340138573,0.33707897247319696,0.33549346802771457,0.7671347375459712,,0.339270859466811,0.6671660903167868,0.33803514460465206,0.3343321806335735,0.8126044801069876
3122,4-wave-all,laser_dbn,0,,0.5015,,0.5015,,,,0.5015,,0.5015,
4303,4-wave-all,lstm-vae,0,0.009680638318310328,,0.4175535169712714,,,,0.010058893016127687,,0.41774688556230594,,
2483,4-wave-all,lstm_ad,0,0.0031069583043799604,0.028680510872118554,0.0022806011239471452,0.015982024651213855,0.3808090939485122,,0.003082705620611602,0.021669662884285526,0.002266341066056977,0.012089325768571052,0.3737880307589435
1468,4-wave-all,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,0.003,0.0015,0.0015,0.0015,0.45486459378134403
2172,4-wave-all,mstamp,0,0.050394656952033996,0.026444909427171575,0.033815447400094054,0.025112041076565374,0.906385824139084,,0.05272633744855967,0.027236459023315555,0.034986956004193596,0.02669514026885333,0.9073888331661651
2906,4-wave-all,multi_hmm,0,0.002633706087937522,0.0011968569621798705,0.0016629935770251817,0.0014779630086088256,0.17101303911735202,,0.002633456437804264,0.0012602501643743345,0.0016625096850155481,0.0015284368366851773,0.17101303911735208
3986,4-wave-all,normalizing_flows,0,0.0059047858929117585,0.037047032828282825,0.00412564913417687,0.024094065656565657,0.6659979939819459,,0.0059644125812562745,0.031630514238494785,0.004169937295109215,0.02159436181032291,0.6700100300902708
1671,4-wave-all,omnianomaly,0,0.27994227994227994,0.024872304871678352,0.1962497613256832,0.02033284492790699,0.8281365998515219,,0.13195521102497845,0.04683665931224823,0.08758793962282334,0.03811776638031006,0.8370452858203415
327,4-wave-all,pca,0,0.008130081300813009,,0.0040650406504065045,,0.6359077231695085,,0.007751937984496124,,0.003875968992248062,,0.6178535606820461
