index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
831,4-wave-two-channel-no-anomaly,autoencoder,0,0.002074196173333167,0.0,0.037386584705383204,0.0015478329378313311,0.019217613855210855,0.048478769642260125,,-0.0,0.0,,0.5,,
4886,4-wave-two-channel-no-anomaly,cblof,0,0.025222469151874136,0.058252427184466014,0.08279220779220779,0.01859041637211233,0.09415584415584416,0.9254429956536275,,-0.0,0.0,,0.5,,
2366,4-wave-two-channel-no-anomaly,cof,0,1.0,0.058252427184466014,0.8472222222222222,1.0,0.6944444444444444,1.0,,-0.0,0.0,,0.5,,
4418,4-wave-two-channel-no-anomaly,copod,0,0.003431143733032017,0.0,0.007856976318674928,0.0025138052463393465,0.0064546933780906,0.43697759946506187,,-0.0,0.0,,0.5,,
4223,4-wave-two-channel-no-anomaly,dae,0,0.0032700472443995677,0.0,0.07456353219832039,0.002396527681856878,0.06579373106330744,0.4078903376797058,,-0.0,0.0,,0.5,,
3247,4-wave-two-channel-no-anomaly,damp,0,0.005005069049422224,0.0,0.0018339309205315933,0.0036408270286105524,0.0023657785077298536,0.614510197258442,,-0.0,0.0,,0.5,,
3063,4-wave-two-channel-no-anomaly,deepant,0,0.004967452668558551,0.0,0.03720238095238096,0.0037223991994414733,0.043154761904761904,0.6001337345369441,,-0.0,0.0,,0.5,,
2158,4-wave-two-channel-no-anomaly,deepnap,0,0.002773978540607269,0.0,0.0625,0.002080157501816045,0.06944444444444445,0.2801738548980274,,-0.0,0.0,,0.5,,
1127,4-wave-two-channel-no-anomaly,encdec_ad,0,0.002165288936863007,0.0,0.001597444089456869,0.001624161278928791,0.001597444089456869,0.07622868605817452,,-0.0,0.0,,0.5,,
704,4-wave-two-channel-no-anomaly,fast_mcd,0,0.008341658341658342,0.0,0.018869461729035232,0.0057683059766947785,0.011423133984386253,0.7556001337345369,,-0.0,0.0,,0.5,,
