index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
835,4-wave-two-channel,autoencoder,0,0.0034466212732944153,0.0,0.0008266309463565327,0.002514485701425452,0.0012123447851292912,0.4423269809428285,,0.0034048735019040167,0.0,0.019035842838233855,0.0024689260884256407,0.010293907898689935,0.43497158141089937
4891,4-wave-two-channel,cblof,0,0.025222469151874136,0.058252427184466014,0.08279220779220779,0.01859041637211233,0.09415584415584416,0.9254429956536275,,0.022212543554006967,0.019417475728155338,0.016865079365079364,0.015340013715663455,0.012896825396825396,0.9097291875626881
2473,4-wave-two-channel,cof,0,1.0,0.058252427184466014,0.8472222222222222,1.0,0.6944444444444444,1.0,,0.8666666666666667,0.058252427184466014,0.8458333333333333,0.8500000000000001,0.6916666666666667,0.9993313273152792
4470,4-wave-two-channel,copod,0,0.003431143733032017,0.0,0.007856976318674928,0.0025138052463393465,0.0064546933780906,0.43697759946506187,,0.0034277032315337035,0.0,0.00908379355455951,0.0025008682049132936,0.00796350547646596,0.4369775994650618
4153,4-wave-two-channel,dae,0,0.0023079459650481773,0.0,0.024347904785950062,0.0017166245674805065,0.020124381000471554,0.15045135406218657,,0.0023160961098190693,0.0,0.02027659130547217,0.0017240259220553662,0.016743658801420532,0.1521230357739886
3203,4-wave-two-channel,damp,0,0.005005069049422224,0.0,0.0018339309205315933,0.0036408270286105524,0.0023657785077298536,0.614510197258442,,0.004788003704513499,0.0,0.0015375591100228784,0.0034830550938985466,0.001917710812638349,0.5994650618522233
3023,4-wave-two-channel,deepant,0,0.004875311390570091,0.0,0.04136523199023199,0.0036291015884517474,0.044268925518925514,0.5987963891675024,,0.004482777470293613,0.0,0.04577670795513431,0.0033307241415184287,0.04577670795513431,0.5650284185891006
2107,4-wave-two-channel,deepnap,0,0.002731116959718524,0.0,0.049999999999999996,0.0020473947595216284,0.049999999999999996,0.2694750919424942,,0.00273728555868759,0.0,0.03571428571428571,0.002052647575821874,0.03571428571428571,0.27047810096957536
1063,4-wave-two-channel,encdec_ad,0,0.0022417574815415506,0.0,0.0009554140127388535,0.0016812113837541608,0.0009554140127388535,0.10832497492477433,,0.00224552192748157,0.0,0.0009541984732824427,0.0016841383665663777,0.0009541984732824427,0.10966232029421599
617,4-wave-two-channel,fast_mcd,0,0.004391658889253516,0.0,0.0004642576148564489,0.003256287720607226,0.0006120595335103662,0.5576730190571715,,0.004262074541867939,0.0,0.0005029676386075652,0.00315289666308161,0.0007495250208048739,0.5453025743898361
2776,4-wave-two-channel,gdn,0,0.004359120210557616,0.0,0.003191027926322044,0.003082093073029167,0.0035411467617349974,0.5420909708078752,,-0.0,0.0,,0.5,,
1719,4-wave-two-channel,hbos,0,0.024086671705719324,0.019417475728155338,0.06914159746283158,0.014313697549450867,0.054949861592329834,0.7955533266466065,,0.012991028290549576,0.019417475728155338,0.04112786195223095,0.008551745291579461,0.03680117844991644,0.7905382815112002
449,4-wave-two-channel,health_esn,0,0.7777777777777777,0.058252427184466014,0.8388888888888889,0.7638888888888888,0.6777777777777778,0.9979939819458375,,0.501,0.038834951456310676,0.7562441520467835,0.4730734691488116,0.5124883040935673,0.6743564025409562
1414,4-wave-two-channel,hif,0,0.01367605676394087,0.019417475728155338,0.019958857164838344,0.009478191480849128,0.01908438099634336,0.8545636910732196,,0.011673337248806542,0.0,0.01518162393162393,0.0084885306512653,0.013696581196581197,0.837178201270478
105,4-wave-two-channel,hybrid_knn,0,0.0026691691211840774,0.0,0.0008199717160520959,0.0020012607342273134,0.0013670176679120522,0.253259779338014,,0.0026698095784711386,0.0,0.0008211713782272274,0.0020006932196282336,0.001369416992262315,0.25342694750919426
3631,4-wave-two-channel,if_lof,0,0.2777777777777778,0.058252427184466014,0.049999999999999996,0.20252525252525252,0.049999999999999996,0.9946506185222334,,0.3134920634920635,0.058252427184466014,0.11929012345679012,0.20242504409171075,0.11358024691358024,0.9899699097291876
2608,4-wave-two-channel,iforest,0,0.007769157060495644,0.0,0.04548611111111111,0.005768830254652999,0.05972222222222222,0.7505850885991308,,0.00734957149324868,0.0,0.030587536549707604,0.005471600043438637,0.03617507309941521,0.7348712805081912
4642,4-wave-two-channel,kmeans,0,1.0,0.058252427184466014,0.8611111111111112,1.0,0.7222222222222223,1.0,,0.7555555555555555,0.058252427184466014,0.8489583333333333,0.711111111111111,0.6979166666666667,0.9989969909729188
1168,4-wave-two-channel,knn,0,0.05929038281979458,0.058252427184466014,0.13166666666666665,0.04282577776121535,0.13833333333333334,0.9695753928452022,,0.054329004329004324,0.058252427184466014,0.01898148148148148,0.039948593073593074,0.021296296296296296,0.9665663657639586
2899,4-wave-two-channel,laser_dbn,0,,0.0,0.5015,,0.5015,,,0.34659871021427086,0.038834951456310676,0.6706162020801463,0.3434369090393837,0.3412324041602925,0.6920762286860581
4112,4-wave-two-channel,lstm-vae,0,,0.0,0.5015,,0.5015,,,,0.0,0.5015,,0.5015,
2286,4-wave-two-channel,lstm_ad,0,0.003633318308909039,0.0,0.10046992481203007,0.002723014179921394,0.10093984962406016,0.45202273487128053,,0.0036180677551057774,0.0,0.010887476459510357,0.0027110346000239136,0.01135828625235405,0.450016716817118
