index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
777,6-cbf-one-channel-anomaly-no-anomaly,autoencoder,0,0.005859800224770685,0.0,0.07365277482671723,0.00531975902118571,0.09809823756193116,0.07343434343434344,,-0.0,0.0,,0.5,,
4919,6-cbf-one-channel-anomaly-no-anomaly,cblof,0,0.007565063596499478,0.0,0.005713925134126109,0.006777457106623019,0.011272061457727793,0.32242424242424245,,-0.0,0.0,,0.5,,
2383,6-cbf-one-channel-anomaly-no-anomaly,cof,0,0.023162504226249617,0.0,0.01228439163541865,0.020758807615999804,0.02118262179803901,0.7828282828282828,,-0.0,0.0,,0.5,,
4521,6-cbf-one-channel-anomaly-no-anomaly,copod,0,0.006960711287215232,0.0,0.009092772482494255,0.006298180797924144,0.020141914829301028,0.23959595959595958,,-0.0,0.0,,0.5,,
4167,6-cbf-one-channel-anomaly-no-anomaly,dae,0,0.006920612377357734,0.0,0.06666266025641025,0.006284201493896029,0.0871416083916084,0.21535353535353535,,-0.0,0.0,,0.5,,
3161,6-cbf-one-channel-anomaly-no-anomaly,damp,0,0.00800382023037379,0.0,0.027002532372598156,0.007015727883315547,0.02768927527151211,0.33060606060606057,,-0.0,0.0,,0.5,,
3111,6-cbf-one-channel-anomaly-no-anomaly,deepant,0,0.01413382071691992,0.0,0.03684092420431218,0.012842476686518901,0.07066626451872354,0.6184848484848484,,-0.0,0.0,,0.5,,
2108,6-cbf-one-channel-anomaly-no-anomaly,deepnap,0,0.010691085261287356,0.0,0.0519485294117647,0.009714634845759832,0.07889705882352942,0.49242424242424243,,-0.0,0.0,,0.5,,
1041,6-cbf-one-channel-anomaly-no-anomaly,encdec_ad,0,0.006230668742875034,0.0,0.004358531091204358,0.005665683466646133,0.005416732149405417,0.11616161616161613,,-0.0,0.0,,0.5,,
696,6-cbf-one-channel-anomaly-no-anomaly,fast_mcd,0,0.01471457796228686,0.0,0.09983202578041347,0.013378702630095971,0.09966405156082697,0.6318181818181818,,-0.0,0.0,,0.5,,
