index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
720,6-cbf-one-channel-anomaly,autoencoder,0,0.01140971783847695,0.0,0.1457885864135864,0.010366438996888432,0.17289585414585418,0.5254545454545454,,0.019837424448444996,0.0,0.046825396825396826,0.018013853202310293,0.043650793650793655,0.7322222222222221
4926,6-cbf-one-channel-anomaly,cblof,0,0.007565063596499478,0.0,0.005713925134126109,0.006777457106623019,0.011272061457727793,0.32242424242424245,,0.009844353992303552,0.0,0.00511579638102525,0.00869938000053747,0.011786276207504557,0.4826262626262626
2336,6-cbf-one-channel-anomaly,cof,0,0.023162504226249617,0.0,0.01228439163541865,0.020758807615999804,0.02118262179803901,0.7828282828282828,,0.011940691036566232,0.0,0.016016959076668814,0.010805585955017604,0.02050681616596611,0.5601010101010101
4490,6-cbf-one-channel-anomaly,copod,0,0.006960711287215232,0.0,0.009092772482494255,0.006298180797924144,0.020141914829301028,0.23959595959595958,,0.010436541371098899,0.0,0.015160879913229982,0.009444797208278656,0.023233464240833238,0.4952525252525253
4196,6-cbf-one-channel-anomaly,dae,0,0.006085309810559121,0.0,0.11072180134680133,0.005530581797479126,0.1672138047138047,0.0993939393939394,,0.010077917497052478,0.0,0.03275190021838221,0.009134815166517376,0.06223228539184218,0.4716161616161616
3264,6-cbf-one-channel-anomaly,damp,0,0.00800382023037379,0.0,0.027002532372598156,0.007015727883315547,0.02768927527151211,0.33060606060606057,,0.007261671123054236,0.0,0.006256636092995385,0.006598635378408727,0.012378963746617832,0.24797979797979797
3074,6-cbf-one-channel-anomaly,deepant,0,0.016405723404464733,0.0,0.029368862105640617,0.014873642155435268,0.013283178756735778,0.6780808080808081,,0.006460996763976572,0.0,0.03304047320502485,0.0058586164761235075,0.0216664662877656,0.1684848484848485
2086,6-cbf-one-channel-anomaly,deepnap,0,0.010514702977626283,0.0,0.06394345238095239,0.00955728322945139,0.07788690476190477,0.4823232323232323,,0.02093290254926303,0.0,0.011366841691432462,0.018988041997644447,0.020022185431411623,0.7486868686868686
1082,6-cbf-one-channel-anomaly,encdec_ad,0,0.006472405409981392,0.0,0.005170397784034148,0.005882695817482066,0.009307737716828626,0.15343434343434342,,0.838878363016294,0.18181818181818182,0.8911057692307692,0.8346772767462421,0.7822115384615385,0.9963636363636363
703,6-cbf-one-channel-anomaly,fast_mcd,0,0.007470936472102475,0.0,0.10296354764638346,0.006789748181215956,0.1456499553514479,0.2683838383838384,,0.007266035806403007,0.0,0.06824529153766769,0.00660014578551689,0.09001261323242746,0.2509090909090909
2757,6-cbf-one-channel-anomaly,gdn,0,0.006187567325060966,0.0,0.003371742182369857,0.005624866948089861,0.004263325634580984,0.09876923076923076,,-0.0,0.0,,0.5,,
1656,6-cbf-one-channel-anomaly,hbos,0,0.021861142760571814,0.0,0.06740295171098742,0.017119537330655514,0.06359114100185528,0.7323737373737373,,0.0123828570565803,0.0,0.03800008561616664,0.010992844994128967,0.04564360677329635,0.5783333333333334
528,6-cbf-one-channel-anomaly,health_esn,0,0.006928401797830103,0.0,0.08653480795419548,0.006300320809598133,0.08597570252288557,0.20595959595959595,,0.011696897055601226,0.0,0.006869036805073777,0.010325439325174685,0.012536147949276039,0.5604040404040405
1433,6-cbf-one-channel-anomaly,hif,0,0.008675119768008346,0.0,0.02872883597883598,0.007882288547797378,0.03482407407407408,0.37262626262626264,,0.012570191367729914,0.0,0.043123142716892715,0.011364418232814127,0.055771229333729334,0.5844444444444444
104,6-cbf-one-channel-anomaly,hybrid_knn,0,0.00731813376892952,0.0,0.08627067014795475,0.005642058326126318,0.08920800696257615,0.11474747474747472,,0.009753714709623551,0.0,0.004572773884718152,0.008857165403425786,0.006604493393287622,0.44585858585858584
3562,6-cbf-one-channel-anomaly,if_lof,0,0.01,0.0,0.005,0.005,0.005,0.3712121212121212,,0.01,0.0,0.005,0.005,0.005,0.41565656565656567
2533,6-cbf-one-channel-anomaly,iforest,0,0.008633192271619584,0.0,0.0616880291889483,0.007834441262032189,0.08630804367201425,0.37606060606060604,,0.011721884709350375,0.0,0.04045560978329177,0.010595520026439743,0.05054131443978188,0.5542424242424242
4674,6-cbf-one-channel-anomaly,kmeans,0,0.00941417402382572,0.0,0.010776863467156575,0.008467530823145702,0.018220393600979816,0.4539393939393939,,0.008630584259822856,0.0,0.003712945272659218,0.007823485587402004,0.005387847067057566,0.3812121212121212
1259,6-cbf-one-channel-anomaly,knn,0,0.011250395279658626,0.0,0.11236607142857144,0.010221791369349467,0.13339285714285715,0.5188383838383839,,0.010906035929342521,0.0,0.05125053014412999,0.009873694975424983,0.04656627500914762,0.5162626262626262
2854,6-cbf-one-channel-anomaly,laser_dbn,0,,0.0,0.505,,0.505,,,0.03404517623093819,0.0,0.012108705483805183,0.026139327215910595,0.02143723757395251,0.8238383838383838
3987,6-cbf-one-channel-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.505,,0.505,
2314,6-cbf-one-channel-anomaly,lstm_ad,0,0.00769503901667809,0.0,0.014215448984952533,0.006992961239592145,0.022258058463732223,0.2904040404040404,,0.021791628735438096,0.0,0.022142667977703798,0.019730509813659487,0.03089247881255045,0.7615151515151516
1980,6-cbf-one-channel-anomaly,mstamp,0,0.007133498103995594,0.0,0.06869601469265792,0.006477828271441653,0.06072391956343363,0.23878787878787877,,0.008672941159524834,0.0,0.047895995138923855,0.007870008942062065,0.04073270961828728,0.3793939393939394
1545,6-cbf-one-channel-anomaly,multi_subsequence_lof,0,0.01861236089078066,0.0,0.013472260894135894,0.01683168935390341,0.01980166464541465,0.7214141414141414,,0.035426216320005366,0.03636363636363636,0.01295696623738549,0.0316773861894885,0.021449646760485264,0.8613131313131313
3730,6-cbf-one-channel-anomaly,normalizing_flows,0,,0.0,0.505,,0.505,,,,0.0,0.505,,0.505,
4834,6-cbf-one-channel-anomaly,omni,0,0.010906281974508152,0.0,0.03242403268814087,0.009899488009982943,0.06464684009552002,0.4814027630180659,,0.012869569187640867,0.0,0.013050766661763191,0.011669267991504131,0.023537471890449524,0.5655685441020192
392,6-cbf-one-channel-anomaly,pca,0,0.012423054138979034,0.0,0.16680555555555557,0.006737842858963201,0.16694444444444445,0.26868686868686875,,0.013587406793703398,0.0,0.00583270345175107,0.008063544666692969,0.00637440161249685,0.38595959595959595
3273,6-cbf-one-channel-anomaly,pcc,0,0.006478606194391444,0.0,0.15978555221593588,0.005889077564670479,0.1682764615747289,0.15323232323232322,,0.01693954109245978,0.0,0.05951037352740139,0.015384815894602256,0.056520747054802783,0.6844444444444444
1896,6-cbf-one-channel-anomaly,random_black_forest,0,0.008310889938602933,0.0,0.0735757262307421,0.0075539541814166125,0.09609882088253685,0.3426262626262626,,0.023484718583765017,0.0,0.014802233417112202,0.021265043291952224,0.03161408024283162,0.7794949494949495
867,6-cbf-one-channel-anomaly,robust_pca,0,0.02850364667711492,0.0,0.11335784313725489,0.025928207420976894,0.11192810457516339,0.8137373737373738,,0.06452638066079067,0.18181818181818182,0.11097494553376908,0.05862677639955491,0.11710239651416124,0.9232323232323232
160,6-cbf-one-channel-anomaly,subsequence_knn,0,0.008757325993595664,0.0,0.09025974025974026,0.007962820621182032,0.09480519480519481,0.3743434343434343,,0.008918223076416501,0.0,0.00287079223249436,0.008109869619371313,0.005209669571371699,0.3852525252525253
3843,6-cbf-one-channel-anomaly,tanogan,0,0.01,0.019801980198019802,0.005,0.005,0.005,0.4914141414141414,,0.01,0.019801980198019802,0.005,0.005,0.005,0.4914141414141414
4314,6-cbf-one-channel-anomaly,telemanom,0,0.007321342383724965,0.0,0.003402701293979142,0.006649695553227073,0.005444858370271208,0.25737373737373737,,0.009647497108143652,0.0,0.004528352396848583,0.00872206464536104,0.00813077886777124,0.4559595959595959
3451,6-cbf-one-channel-anomaly,usad,0,0.02568043343689031,0.0,0.1298380345106125,0.02452125217431586,0.20996348559856415,0.5751711232579898,0.20869041979312897,0.03147750810065513,0.0,0.026652265340089798,0.02983417502952939,0.050526753067970276,0.6803565273058552
