index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
848,6-ecg-one-channel-pattern-anomaly-no-anomaly,autoencoder,0,0.9379581577217998,0.6133333333333333,0.6176700916987815,0.9378283346516156,0.8622469649016887,0.9804842105263157,,-0.0,0.0,,0.5,,
4897,6-ecg-one-channel-pattern-anomaly-no-anomaly,cblof,0,0.6855685560006658,0.5599999999999999,0.5688290596656307,0.6831626080718235,0.4180832656960649,0.9670105263157894,,-0.0,0.0,,0.5,,
2413,6-ecg-one-channel-pattern-anomaly-no-anomaly,cof,0,0.8855738473612487,0.5733333333333333,0.6053208773417911,0.8852935513194622,0.8252832128021914,0.9538315789473685,,-0.0,0.0,,0.5,,
4538,6-ecg-one-channel-pattern-anomaly-no-anomaly,copod,0,0.10527607526047171,0.08,0.05713840114617742,0.10135034408946426,0.10618172247676662,0.7871157894736842,,-0.0,0.0,,0.5,,
4252,6-ecg-one-channel-pattern-anomaly-no-anomaly,dae,0,0.937120312915693,0.6133333333333333,0.6139019802938585,0.9369829411057694,0.86187800212614,0.9780842105263158,,-0.0,0.0,,0.5,,
3168,6-ecg-one-channel-pattern-anomaly-no-anomaly,damp,0,0.08141421259621676,0.0,0.025231199228115286,0.07975431680047854,0.053717010951309985,0.720842105263158,,-0.0,0.0,,0.5,,
3039,6-ecg-one-channel-pattern-anomaly-no-anomaly,deepant,0,0.8770417162969228,0.6,0.619868667357504,0.8765974358896238,0.8118342757129902,0.9095789473684212,,-0.0,0.0,,0.5,,
2180,6-ecg-one-channel-pattern-anomaly-no-anomaly,deepnap,0,0.3111092589838399,0.21333333333333335,0.5955597389671545,0.30827999850868415,0.2361161389150779,0.7491578947368421,,-0.0,0.0,,0.5,,
1016,6-ecg-one-channel-pattern-anomaly-no-anomaly,encdec_ad,0,0.07233780998920075,0.18666666666666668,0.10373510368912414,0.069410818821472,0.07799082970169818,0.5426947368421052,,-0.0,0.0,,0.5,,
678,6-ecg-one-channel-pattern-anomaly-no-anomaly,fast_mcd,0,0.14668869684669622,0.21333333333333335,0.058100108487974284,0.14223430686251387,0.12670109346969563,0.8506947368421053,,-0.0,0.0,,0.5,,
