index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
788,8-ecg-one-channel-anomaly-no-anomaly,autoencoder,0,0.8754256783155224,0.2628571428571429,0.6024637963180712,0.8750783965482973,0.5692968207430622,0.9557220338983051,,-0.0,0.0,,0.5,,
4898,8-ecg-one-channel-anomaly-no-anomaly,cblof,0,0.2519152622163195,0.2057142857142857,0.5457863886754951,0.2494288954988923,0.16860827128341666,0.9204474576271187,,-0.0,0.0,,0.5,,
2434,8-ecg-one-channel-anomaly-no-anomaly,cof,0,0.7617971784509949,0.2628571428571429,0.5653362554285499,0.7611444584333712,0.49338497102945333,0.9746101694915255,,-0.0,0.0,,0.5,,
4429,8-ecg-one-channel-anomaly-no-anomaly,copod,0,0.040157808298265985,0.07428571428571429,0.02163346075592415,0.03839192262222663,0.03963506140175828,0.7900610169491525,,-0.0,0.0,,0.5,,
4221,8-ecg-one-channel-anomaly-no-anomaly,dae,0,0.8665880246315423,0.2628571428571429,0.6001681067333128,0.8661994671475455,0.5468448830523414,0.9639525423728814,,-0.0,0.0,,0.5,,
3218,8-ecg-one-channel-anomaly-no-anomaly,damp,0,0.0644023705674601,0.14857142857142858,0.040729657250185625,0.06101906911295941,0.04706844955501155,0.766935593220339,,-0.0,0.0,,0.5,,
2988,8-ecg-one-channel-anomaly-no-anomaly,deepant,0,0.847272652396057,0.25142857142857145,0.6396900948383186,0.8469519091334083,0.5551827966221734,0.9393084745762712,,-0.0,0.0,,0.5,,
2160,8-ecg-one-channel-anomaly-no-anomaly,deepnap,0,0.5669254623374662,0.17142857142857143,0.6209764223363667,0.5664609333014328,0.4645901605622035,0.8363999999999999,,-0.0,0.0,,0.5,,
1119,8-ecg-one-channel-anomaly-no-anomaly,encdec_ad,0,0.08912957009191157,0.10857142857142858,0.016557601309553437,0.08463211265053093,0.059998932180070796,0.5974372881355932,,-0.0,0.0,,0.5,,
591,8-ecg-one-channel-anomaly-no-anomaly,fast_mcd,0,0.12244202505902053,0.09142857142857143,0.5368031714631841,0.1213313053143956,0.09172008748373238,0.8133898305084746,,-0.0,0.0,,0.5,,
2761,8-ecg-one-channel-anomaly-no-anomaly,gdn,0,0.815342631919709,0.2464183381088825,0.6439685925520937,0.8150163920789558,0.5514095228085691,0.9659148211243612,,-0.0,0.0,,0.5,,
1621,8-ecg-one-channel-anomaly-no-anomaly,hbos,0,0.02896760238975662,0.03932584269662921,0.014107270762261195,0.028065764028319222,0.033822387514486206,0.6840677966101695,,-0.0,0.0,,0.5,,
491,8-ecg-one-channel-anomaly-no-anomaly,health_esn,0,0.9498786639453328,0.27999999999999997,0.6631122242406562,0.9496358166465321,0.5985329370941488,0.9953898305084746,,-0.0,0.0,,0.5,,
1424,8-ecg-one-channel-anomaly-no-anomaly,hif,0,0.07367237290461119,0.08571428571428572,0.07089937049693154,0.06497741811010586,0.05538474861961065,0.823735593220339,,-0.0,0.0,,0.5,,
125,8-ecg-one-channel-anomaly-no-anomaly,hybrid_knn,0,0.0118771970360508,0.02840909090909091,0.015523153541872906,0.01137991161130628,0.028159326449807447,0.29291525423728815,,-0.0,0.0,,0.5,,
3618,8-ecg-one-channel-anomaly-no-anomaly,if_lof,0,0.6798875749568302,0.26857142857142857,0.5521525915963352,0.6781098431941168,0.5177169542128911,0.9661355932203389,,-0.0,0.0,,0.5,,
2572,8-ecg-one-channel-anomaly-no-anomaly,iforest,0,0.1507175864163629,0.08,0.5356291290892989,0.14705469468927365,0.13416290617671078,0.8224338983050847,,-0.0,0.0,,0.5,,
4650,8-ecg-one-channel-anomaly-no-anomaly,kmeans,0,0.8223532107176502,0.2571428571428572,0.7511935175134896,0.8217974887163014,0.5583976733248516,0.9840474576271186,,-0.0,0.0,,0.5,,
1178,8-ecg-one-channel-anomaly-no-anomaly,knn,0,0.5080596129984424,0.1657142857142857,0.5572436451105263,0.5073273042939288,0.28911127465867736,0.9027457627118645,,-0.0,0.0,,0.5,,
4092,8-ecg-one-channel-anomaly-no-anomaly,lstm-vae,0,,0.0,0.5083333333333333,,0.5083333333333333,,,,0.0,0.5,,0.5,
2295,8-ecg-one-channel-anomaly-no-anomaly,lstm_ad,0,0.2764106601045231,0.26857142857142857,0.0925611389901339,0.27051876485370385,0.10595561131360116,0.9681762711864407,,-0.0,0.0,,0.5,,
1447,8-ecg-one-channel-anomaly-no-anomaly,mscred,0,0.016666666666666666,0.03278688524590164,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.45847457627118643,,-0.0,0.0,,0.5,,
2048,8-ecg-one-channel-anomaly-no-anomaly,mstamp,0,0.025366415108299747,0.0,0.008925738896520584,0.024842359548767262,0.019203013238835852,0.6830169491525424,,-0.0,0.0,,0.5,,
2679,8-ecg-one-channel-anomaly-no-anomaly,multi_hmm,0,0.04610292395071568,0.10285714285714286,0.322200063766444,0.05752244034512243,0.05492538151362995,0.7256474576271186,,-0.0,0.0,,0.5,,
1477,8-ecg-one-channel-anomaly-no-anomaly,multi_subsequence_lof,0,0.7290564092142157,0.2742857142857143,0.6869631005768202,0.7269197518656765,0.5168239115551598,0.9725627118644068,,-0.0,0.0,,0.5,,
3759,8-ecg-one-channel-anomaly-no-anomaly,normalizing_flows,0,,0.0,0.5083333333333333,,0.5083333333333333,,,,0.0,0.5,,0.5,
4707,8-ecg-one-channel-anomaly-no-anomaly,omni,0,0.021002516844718565,0.017341040462427744,0.04683558642864227,0.018831255997676086,0.033223509788513184,0.4452671492588763,,-0.0,0.0,,0.5,,
329,8-ecg-one-channel-anomaly-no-anomaly,pca,0,0.8013793103448276,0.2710027100271003,,0.8331034482758621,,0.9947118644067797,,,,,,,
3358,8-ecg-one-channel-anomaly-no-anomaly,pcc,0,0.03590201582278782,0.07428571428571429,0.021079194041652122,0.03449758710640458,0.034599780094881565,0.6762508474576272,,-0.0,0.0,,0.5,,
920,8-ecg-one-channel-anomaly-no-anomaly,robust_pca,0,0.03993229208149485,0.06857142857142857,0.02072566223673565,0.03848871597618849,0.03690917050661201,0.7853423728813559,,-0.0,0.0,,0.5,,
157,8-ecg-one-channel-anomaly-no-anomaly,subsequence_knn,0,0.19595294779068717,0.2222222222222222,0.09471278145536563,0.19162136210713568,0.1329453597570369,0.7990983050847458,,-0.0,0.0,,0.5,,
3905,8-ecg-one-channel-anomaly-no-anomaly,tanogan,0,0.016666666666666666,0.03278688524590164,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.49033898305084744,,-0.0,0.0,,0.5,,
4289,8-ecg-one-channel-anomaly-no-anomaly,telemanom,0,0.010774903210182166,0.0,0.01996822031302013,0.010541303002992514,0.02152953666450207,0.26515254237288133,,-0.0,0.0,,0.5,,
1776,8-ecg-one-channel-anomaly-no-anomaly,torsk,0,0.5,0.2857142857142857,0.75,0.75,0.75,0.9915254237288136,,-0.0,0.0,,0.5,,
3455,8-ecg-one-channel-anomaly-no-anomaly,usad,0,0.03854678235940834,0.07222222222222222,0.026628900319337845,0.037298345330442496,0.03697818145155907,0.6952567111180809,0.017459923401474953,-0.0,0.0,,0.5,,
