index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
861,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,autoencoder,0,0.0007824942652431294,0.0020038072337441137,0.01025239110860413,0.0007526781653284663,0.010280903814212844,0.5392956761694923,,0.00032633981032455776,0.0,0.00017685293486005473,0.00032228927417098644,0.0002583283205956272,0.32347417902489817
4844,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,cblof,0,0.0002617392002032927,0.0,0.0049087339248723655,0.00025606702309255983,0.004924297607612987,0.43181981807267555,,0.0005500418981295315,0.0,0.0028956933617209487,0.0005406321828268278,0.0031322367703758517,0.5274283015298232
4540,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,copod,0,0.000728803561721779,0.0021039975954313195,0.0030387958995858246,0.0007088139447643785,0.0031228916049449392,0.6279353852829492,,0.0003529337611944635,0.0,0.00016917682751704162,0.0003484153754618336,0.00026543114311783925,0.36120390718129114
4234,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,dae,0,0.00023852729648659552,0.0,0.0002864413058779925,0.00023413989543113564,0.0003068529642206853,0.3876255497336015,,0.0004079253191220607,0.0,0.002628637194019864,0.000402291368754848,0.0028924666485862617,0.45511025496170476
3179,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,damp,0,0.0009115991478296924,0.0021039975954313195,0.00022007435625430558,0.0008766305494586648,0.00025548930466150384,0.5210280298060118,,0.0003420482718868996,0.0,0.0004297889650190899,0.0003378805985745278,0.00047471134177824167,0.3540954092075164
3093,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,deepant,0,0.0002000160494015522,0.0,0.00035952811164011796,0.00019634844866206678,0.0003773351158816315,0.26811056224682095,,0.0003215003143276777,0.0,0.0002880787189616159,0.00031774044639301685,0.0002922947508664077,0.3048761177975733
2075,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,deepnap,0,0.00034492631776198736,0.0,0.0010058530210252197,0.00033735966140827366,0.0010058530210252197,0.5616421991095296,,0.0005189966623382913,0.0,0.00042605927581273713,0.0005104244660973801,0.00047356542500285334,0.5507204576636029
1066,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,encdec_ad,0,0.0003816998239532969,0.0,0.00038676052812266473,0.0003713513364268972,0.0004141037974080119,0.5089674153626725,,0.0006064077243505331,0.002800700175043761,0.007422513365589918,0.0005946960173218629,0.007465481651019776,0.528956245973018
639,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,fast_mcd,0,0.0012728256837861024,0.0021039975954313195,0.012595740575514994,0.0012246935641144153,0.012739006413427404,0.6334026422237566,,0.0008210196091758511,0.002600650162540635,0.0005081213842473909,0.0008060027918132267,0.0006823484206945654,0.5406769431056084
2774,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,gdn,0,0.0003015532134395727,0.0,0.0005237827356492675,0.0002962324843540419,0.0005792040777144357,0.5072946851050975,,-0.0,0.0,,0.5,,
1676,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,hbos,0,0.0015999873167602116,0.0021013658878270875,0.0005812810034022047,0.0009911243358129305,0.000691684996908802,0.7179518809394011,,0.0004884484020920253,0.0,0.00044448959814162017,0.000372919841483015,0.0005017294798589419,0.40395573660528233
442,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,health_esn,0,0.0003187437075046893,0.0,0.0007768693015962433,0.0003129724528233128,0.0011650692354509928,0.5420189269537372,,0.02253269157201092,0.006401600400100025,0.15935602250187464,0.021486703403437873,0.036182911158828025,0.8587334604327113
1361,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,hif,0,0.0008207349322307268,0.0021034707266990534,0.0002008995911627529,0.0007659746003411846,0.0002470253042211452,0.6591474114645541,,0.00041553782806085556,0.0,0.008463464218520376,0.0004043820583957725,0.008495316703395298,0.43354711783858724
126,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,hybrid_knn,0,0.00031155778894472364,0.0006229215018436467,0.5001557788944724,0.5001557788944724,0.5001557788944724,0.5,,0.00047738693467336686,0.000954318290263442,0.5002386934673367,0.5002386934673367,0.5002386934673367,0.5
3615,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,if_lof,0,0.3740381719559658,0.004075889174632442,0.38291370718296736,0.37204331850689265,0.33744154043233104,0.6774027343257211,,0.7643637437248582,0.009438179921514082,0.7549915235010942,0.7635658918103311,0.6893063037108101,0.9997686808963284
2616,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,iforest,0,0.0009455038459645508,0.0021038922005710567,0.0024279384061219158,0.0008905100422291109,0.0025084577221157487,0.6909955979152526,,0.0004217796163667372,0.0,0.00796687821751656,0.00040796903336062535,0.008060202902849449,0.43348795179925886
4559,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,kmeans,0,0.0002703445074526522,0.0,0.0003022673307438923,0.0002642405212349328,0.0003139458519148179,0.4331145965723151,,0.0008103763831601104,0.002800700175043761,0.0009236272314103196,0.000792457551802189,0.0009250868306270493,0.5720006509322753
1173,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,knn,0,0.0005264763936565866,0.0010019036168720569,0.10049546381207987,0.0005133738376126234,0.11065795147944284,0.7033735020053257,,0.0008304994673669223,0.001000250062515629,0.14061203762334773,0.0008178602941938732,0.16185034480349225,0.7267469659543897
2857,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,laser_dbn,0,,0.0,0.5001557788944724,,0.5001557788944724,,,0.0004471132440692655,0.0,0.00013345116906786673,0.00034605663659748466,0.00017400776662304418,0.360418898733725
2047,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,mstamp,0,0.1288363012184872,0.006211802424606754,0.2574463180000498,0.1270237535246467,0.12364805593357549,0.9964639655927816,,0.08699428924664773,0.009502375593898476,0.003226953437412202,0.08553455269557451,0.003226953437412202,0.9972597868064496
1543,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,multi_subsequence_lof,0,0.11377631072606742,0.005410279531109107,0.023184656773947942,0.10984626205645065,0.022344198067641263,0.8845249727666814,,0.1999800141816203,0.009202300575143785,0.21401291557747434,0.19279430993551533,0.21465612319302696,0.9674407380407732
416,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,pca,0,0.00027910214186399173,0.0,0.0002575661068353174,0.00020678796509816135,0.000296983119602584,0.2848811057684044,,0.0008382355174215123,0.0,0.00026221682064598266,0.0006042401785800048,0.0003705751338924703,0.5346237756982637
3310,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,pcc,0,0.0009406604944041106,0.0021039975954313195,0.0008314764918353662,0.0009144052541968891,0.0009672262777508141,0.6988817881012693,,0.0004664319464859994,0.0,0.0007081836048827058,0.00045998187467637765,0.0007893624370366096,0.5185398477718139
974,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,robust_pca,0,0.000528808408979271,0.0021039975954313195,0.00047445441268401865,0.000514087141176507,0.0005202504618850245,0.6314797704844985,,0.00042649975985428913,0.0,0.0002370580478850605,0.0004208373393695789,0.00034181248942068674,0.45959184429488287
193,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,subsequence_knn,0,0.0005039344186189697,0.0,0.005069416243865026,0.0004922938883613907,0.007352277012004839,0.677843461684772,,0.0005469171939254555,0.0,0.027089144886594703,0.000539409752719606,0.030730510212765953,0.598219938373119
