index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
859,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,autoencoder,0,8.720083038111667e-05,0.0,0.0027238010383138283,8.322581473281092e-05,0.002719746085594577,0.36792899178879607,,-0.0,0.0,,0.5,,
4914,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,cblof,0,8.284712871523228e-05,0.0,9.934150772025432e-05,7.907974405634314e-05,9.934150772025432e-05,0.3331095719840261,,-0.0,0.0,,0.5,,
4446,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,copod,0,0.0001013291099410364,0.0,0.00040095367975701175,9.658487265542861e-05,0.0007585722927780207,0.46892983921012005,,-0.0,0.0,,0.5,,
4245,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,dae,0,0.0001244520160455397,0.0,7.39131952546838e-05,0.00011876774633534511,7.551196739767799e-05,0.5580024118362334,,-0.0,0.0,,0.5,,
3221,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,damp,0,8.878455398043011e-05,0.0,0.00012108492089118503,8.473472780258199e-05,0.00012108492089118503,0.3796009581293456,,-0.0,0.0,,0.5,,
3019,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,deepant,0,0.00012704672363190046,0.0,0.0001116190071223557,0.00012126861199260785,0.0001116190071223557,0.5652173392789237,,-0.0,0.0,,0.5,,
2169,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,deepnap,0,9.195887693544207e-05,0.0,3.287413901064496e-05,8.777885890766178e-05,3.287413901064496e-05,0.3989530840655834,,-0.0,0.0,,0.5,,
1055,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,encdec_ad,0,6.159694499356997e-05,0.0,1.7666531789459053e-05,5.8795404818934514e-05,2.2378143462194278e-05,0.10315900768662115,,-0.0,0.0,,0.5,,
661,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,fast_mcd,0,0.00011931215022952356,0.0,5.2812650893288264e-05,0.00011388199888122261,5.2812650893288264e-05,0.5373476837349909,,-0.0,0.0,,0.5,,
2809,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,gdn,0,0.0001766591454073299,0.0,0.0008030614106065087,0.00016838528784967428,0.0009876936313552563,0.6954727871325849,,-0.0,0.0,,0.5,,
1747,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,hbos,0,0.0003707168958638586,0.0,7.492721356396643e-05,0.0001853584479319293,7.492721356396643e-05,0.718236597831932,,-0.0,0.0,,0.5,,
556,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,health_esn,0,0.0005338288948959517,0.0016063450629988454,0.0007192364350462914,0.0005051725517478071,0.0007424465476425702,0.89585285262216,,-0.0,0.0,,0.5,,
1423,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,hif,0,0.00015256175021306672,0.0,3.221392500598259e-05,0.00011803555256275501,3.221392500598259e-05,0.553308927790657,,-0.0,0.0,,0.5,,
36,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,hybrid_knn,0,0.00010552763819095478,0.0,5.276381909547739e-05,5.276381909547739e-05,5.276381909547739e-05,0.4347594469768167,,-0.0,0.0,,0.5,,
3596,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,if_lof,0,0.9539708204680983,0.002026733581045215,0.9278656126482213,0.9531286453058558,0.8557312252964426,0.9999932991253684,,-0.0,0.0,,0.5,,
2580,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,iforest,0,0.00011920992338927545,0.0,0.00023496505244328055,0.00011317756907190421,0.00031151008059549065,0.5423738183426392,,-0.0,0.0,,0.5,,
4687,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,kmeans,0,7.813245020193592e-05,0.0,7.300792657488527e-05,7.458100869597063e-05,7.300792657488527e-05,0.2925539641776028,,-0.0,0.0,,0.5,,
1156,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,knn,0,0.00013605781509224568,0.0,0.07219870902906617,0.00012686549006614198,0.08189741805813235,0.6163086365419275,,-0.0,0.0,,0.5,,
2862,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,laser_dbn,0,,0.0,0.5000527638190955,,0.5000527638190955,,,-0.0,0.0,,0.5,,
1955,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,mstamp,0,0.3998344100844758,0.0021083278951859845,0.0008597396217145665,0.3842031654802761,0.0008597396217145665,0.999921264723078,,-0.0,0.0,,0.5,,
1587,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,multi_subsequence_lof,0,0.32002924444595704,0.0021083278951859845,0.2546875,0.2981919670249669,0.259375,0.9998521021242012,,-0.0,0.0,,0.5,,
390,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,pca,0,0.00012250612530626532,0.0,,6.125306265313266e-05,,0.14350509350232943,,,,,,,
3296,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,pcc,0,7.311805604402505e-05,0.0,0.0001857964957893307,6.976687459483065e-05,0.00023060739379972682,0.25009578660969006,,-0.0,0.0,,0.5,,
877,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,robust_pca,0,9.842938800252506e-05,0.0,8.767974347412195e-05,9.395305689257603e-05,8.767974347412195e-05,0.43874598874875287,,-0.0,0.0,,0.5,,
184,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,subsequence_knn,0,9.699012360187173e-05,0.0,0.005375524242715462,9.171935008093079e-05,0.009554876236627097,0.48081479763717583,,-0.0,0.0,,0.5,,
3887,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,tanogan,0,0.00010552763819095478,0.0002110330065671462,5.276381909547739e-05,5.276381909547739e-05,5.276381909547739e-05,0.49000648309620615,,-0.0,0.0,,0.5,,
4355,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,telemanom,0,0.00013718255711037272,0.0,0.000827357970215113,0.00013094553661773594,0.000827357970215113,0.5972161694976665,,-0.0,0.0,,0.5,,
1809,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,torsk,0,0.03494176372712146,0.0021083278951859845,0.5106382978723404,0.5174708818635607,0.5106382978723404,0.9985425597676137,,-0.0,0.0,,0.5,,
