index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
724,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,autoencoder,0,0.00025069981345886787,0.0,0.0003001694917370532,0.00024913881425973525,0.00031303785444420956,0.4743638934605585,,-0.0,0.0,,0.5,,
4900,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,cblof,0,0.00020410442432650022,0.0,0.00011725611009923996,0.00020278690694368472,0.00013157049036802225,0.3916696064696251,,-0.0,0.0,,0.5,,
4523,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,copod,0,0.0003252771921102658,0.0010582750117308787,0.0005928990027808257,0.0003229264014092184,0.0006146892514985856,0.548895014860042,,-0.0,0.0,,0.5,,
4208,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,dae,0,0.00035153165805023744,0.00045925142018509823,0.0005475984164867571,0.00034943896564102725,0.0005674087393717434,0.6424528970964852,,-0.0,0.0,,0.5,,
3258,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,damp,0,0.0005556363050973862,0.0013378193544522428,0.0002982732773440096,0.0005474436498888422,0.00032199290077613484,0.6449008367530168,,-0.0,0.0,,0.5,,
3052,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,deepant,0,0.0004105906067623064,0.0009983726525763007,0.00038858786619557525,0.00040678950005176016,0.0003959337442714856,0.6133841680826153,,-0.0,0.0,,0.5,,
613,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,fast_mcd,0,0.000226285924470084,0.00041931651408204634,0.0003659657316948024,0.00022469694934377097,0.000371190573732562,0.44985313409010486,,-0.0,0.0,,0.5,,
2702,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,gdn,0,0.00022160753225101984,0.0,0.000593572605182131,0.0002202279733470588,0.0006049070143923494,0.4431695570056403,,-0.0,0.0,,0.5,,
1654,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,hbos,0,0.00028420871513393405,0.0004173208004610401,0.00021266849107006455,0.00022965604144804846,0.0002239776203184645,0.41239503553824985,,-0.0,0.0,,0.5,,
450,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,health_esn,0,0.0003959394572378807,0.0014376566197098729,0.0013081255707812314,0.00039213529573475813,0.001376492850866625,0.5834772283173115,,-0.0,0.0,,0.5,,
53,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,hybrid_knn,0,0.0002611747132537143,0.0005391212323912024,0.0007141407239553392,0.0002590426979246029,0.0006999803859410997,0.4850090188623059,,-0.0,0.0,,0.5,,
3587,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,if_lof,0,0.7304467071098681,0.004475455807234375,0.7209549341312487,0.7301880275939618,0.6951167814117419,0.9033483434063915,,-0.0,0.0,,0.5,,
2546,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,iforest,0,0.00029974764086128207,0.0009384421859712876,0.0003345268425940931,0.0002932258320832333,0.0003454240748612714,0.5135237021087672,,-0.0,0.0,,0.5,,
4567,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,kmeans,0,0.00018923435000995771,0.0,0.0001475838022243835,0.00018814897153360282,0.00015841106499345055,0.3679412421081743,,-0.0,0.0,,0.5,,
1192,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,knn,0,0.0007597323928235122,0.001697233509379711,0.14298348783770704,0.0007528637106876923,0.13853220632195248,0.771341738836683,,-0.0,0.0,,0.5,,
2962,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,laser_dbn,0,,0.0,0.5001316316316317,,0.5001316316316317,,,-0.0,0.0,,0.5,,
417,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,pca,0,0.00030968352608798757,0.0,,0.00027714206279593666,,0.5510575674567473,,,,,,,
3353,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,pcc,0,0.0003219316490517695,0.0,0.0003742863810317637,0.00031993349182067024,0.00038386417123448225,0.5926755910966501,,-0.0,0.0,,0.5,,
952,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,robust_pca,0,0.00020914017387314236,0.0,0.0003588687458439898,0.00020793281408902517,0.00036840311770721724,0.4220492192665954,,-0.0,0.0,,0.5,,
