index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
800,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,autoencoder,0,0.00024604262285014746,0.0,4.9534065951695396e-05,0.00024463898991281804,5.548686358738602e-05,0.5136421939693103,,0.0003064681705963922,0.0009789818588667783,0.0011409089796376758,0.0003006343112074891,0.001153118970100536,0.40576729382176135
4959,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,cblof,0,0.00020410442432650022,0.0,0.00011725611009923996,0.00020278690694368472,0.00013157049036802225,0.3916696064696251,,0.0002610411921180958,0.0005594182050667305,0.0009979568323607265,0.000257340164200507,0.0010376045675118176,0.5267738533665122
4552,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,copod,0,0.0003252771921102658,0.0010582750117308787,0.0005928990027808257,0.0003229264014092184,0.0006146892514985856,0.548895014860042,,0.0002519301233843897,0.0005594182050667305,0.0013628571710807657,0.00024908966369756856,0.0013919700046281331,0.5326173006417373
4141,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,dae,0,0.0003384943333423127,0.0007986981220610404,0.00040112771801805,0.00033632889782872765,0.0004242108267222352,0.6184392751162588,,0.00017640095219240194,0.0,0.0008725679462215475,0.00017520951460835802,0.0008755025893231552,0.47007593220669064
3151,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,damp,0,0.0005556363050973862,0.0013378193544522428,0.0002982732773440096,0.0005474436498888422,0.00032199290077613484,0.6449008367530168,,0.00043766611012084936,0.0007791896427715177,0.0003472806623078404,0.00042749963823358845,0.0003802041932429742,0.6967689195830995
3054,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,deepant,0,0.0004133279963824253,0.0009983726525763007,0.0004922423743407799,0.0004093202702658794,0.0004922688314205567,0.5970735240129196,,0.00020223422286720736,0.0008391273076000958,0.0004848057378965623,0.00020005454002184443,0.0004917749285893215,0.44274643435402106
572,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,fast_mcd,0,0.0002439669754710029,0.00041931651408204634,0.00061521005427355,0.0002422173299001089,0.0006211717118942068,0.47523781852068514,,0.0002594025639941412,0.0005594182050667305,0.0015034665541676132,0.000255846973396948,0.0015175491393669628,0.5154436578895893
2721,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,gdn,0,0.00029376089204937226,0.00041932070046524634,0.0008198405770152436,0.0002902168837491148,0.0008960396441922058,0.465316663288839,,-0.0,0.0,,0.5,,
1608,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,hbos,0,0.00028420871513393405,0.0004173208004610401,0.00021266849107006455,0.00022965604144804846,0.0002239776203184645,0.41239503553824985,,0.00021716349859221413,0.0,0.0002491184017176672,0.0001858097745834345,0.0002622561179846557,0.47827526007980276
458,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,health_esn,0,0.0005041022367520689,0.0012579495422461388,0.000763914029420976,0.0004983103423430911,0.0007852879437252717,0.6380470054591496,,0.0002285509076181228,0.0005594182050667305,0.0010894850794292332,0.00022588848735694334,0.0011099828292158334,0.51711518511425
15,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,hybrid_knn,0,0.00030305538652125575,0.0005191537793396763,0.0006265859781939959,0.00029718142804639454,0.0006558092939518875,0.48361542415142567,,0.00038327311330257723,0.0009789818588667783,0.00029707907385756026,0.00037586853099719686,0.00030584883248550474,0.5320067837166145
3695,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,if_lof,0,0.7304467071098681,0.004475455807234375,0.7209549341312487,0.7301880275939618,0.6951167814117419,0.9033483434063915,,0.5259978268295853,0.002848495638241054,0.5709927157997249,0.5254961445489378,0.5249001882256915,0.7218543135739353
2517,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,iforest,0,0.00029974764086128207,0.0009384421859712876,0.0003345268425940931,0.0002932258320832333,0.0003454240748612714,0.5135237021087672,,0.0002624463608923878,0.00055941261675241,0.0015598649261984656,0.00025259043249422925,0.00192959752802426,0.5554236148361843
4692,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,kmeans,0,0.00018923435000995771,0.0,0.0001475838022243835,0.00018814897153360282,0.00015841106499345055,0.3679412421081743,,0.00014174082196625708,0.0,0.00038984150521899607,0.00014068359490767857,0.0004056247463270747,0.33793106508078863
1219,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,knn,0,0.0007597323928235122,0.001697233509379711,0.14298348783770704,0.0007528637106876923,0.13853220632195248,0.771341738836683,,0.0004164642191283128,0.0010988571885239354,0.12988008381983335,0.0004132757780229658,0.13139864234917029,0.7537818204687071
2908,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,laser_dbn,0,,0.0,0.5001316316316317,,0.5001316316316317,,,0.00022064282503427978,0.0,6.874470533084805e-05,0.0001953532985485149,7.284143701661009e-05,0.5128047477987026
